name,type,typeLocal,ref,substitutionGroup,substitutionGroupLocal,abstract,nillable,documentation
AcquaintanceAssociation,nc:PersonAssociationType,PersonAssociationType,,,,False,True,An association between people who recognize each other but do not know each other very well.
Activity,nc:ActivityType,ActivityType,,,,False,True,"A single or set of related actions, events, or process steps."
ActivityActualDuration,niem-xs:duration,duration,,,,False,True,An actual duration of an activity.
ActivityAdministratorOrganizationAssociation,nc:ActivityOrganizationAssociationType,ActivityOrganizationAssociationType,,,,False,True,An association between an activity and an organization which administers it.
ActivityAdministratorPersonAssociation,nc:ActivityPersonAssociationType,ActivityPersonAssociationType,,,,False,True,An association between an activity and a person who administers it.
ActivityApprovedIndicator,niem-xs:boolean,boolean,,,,False,True,True if the activity request was approved; false otherwise.
ActivityAssignedDate,nc:DateType,DateType,,,,False,True,A date on which an activity was assigned.
ActivityAugmentationPoint,,,,,,True,False,An augmentation point for ActivityType.
ActivityBillRecipientOrganizationAssociation,nc:ActivityOrganizationAssociationType,ActivityOrganizationAssociationType,,,,False,True,An association between an activity and an organization which receives a bill for the activity.
ActivityBillRecipientPersonAssociation,nc:ActivityPersonAssociationType,ActivityPersonAssociationType,,,,False,True,An association between an activity and a person who receives a bill for the activity.
ActivityCapacityQuantity,nc:QuantityType,QuantityType,,,,False,True,A number for the specified maximum enrollment capacity of an activity.
ActivityCategoryAbstract,,,,,,True,False,A data concept for a kind of activity.
ActivityCategoryText,nc:TextType,TextType,,nc:ActivityCategoryAbstract,ActivityCategoryAbstract,False,True,A kind of activity.
ActivityComment,nc:CommentType,CommentType,,,,False,True,A comment about the activity.
ActivityCompletedIndicator,niem-xs:boolean,boolean,,,,False,True,True if an activity has ended; false otherwise.
ActivityContactEntity,nc:EntityType,EntityType,,,,False,True,A person or organization to contact for additional information about an activity.
ActivityConveyanceAssociation,nc:ActivityConveyanceAssociationType,ActivityConveyanceAssociationType,,,,False,True,An association between an activity and a conveyance.
ActivityConveyanceAssociationAugmentationPoint,,,,,,True,False,An augmentation point for ActivityConveyanceAssociationType.
ActivityDate,nc:DateType,DateType,,,,False,True,A date of an activity.
ActivityDescriptionText,nc:TextType,TextType,,,,False,True,A description of an activity.
ActivityDisposition,nc:DispositionType,DispositionType,,,,False,True,A result or outcome of an activity.
ActivityDocumentAssociation,nc:ActivityDocumentAssociationType,ActivityDocumentAssociationType,,,,False,True,An association between an activity and a document.
ActivityDocumentAssociationAugmentationPoint,,,,,,True,False,An augmentation point for ActivityDocumentAssociationType.
ActivityDueDate,nc:DateType,DateType,,,,False,True,A date when an activity is expected to be completed.
ActivityEffectiveDate,nc:DateType,DateType,,,,False,True,A date when an activity is ready for service or action.
ActivityEstimatedDuration,niem-xs:duration,duration,,,,False,True,An expected amount of time an activity should last.
ActivityFacilityAssociation,nc:ActivityFacilityAssociationType,ActivityFacilityAssociationType,,,,False,True,An association between an activity and a facility.
ActivityFacilityAssociationAugmentationPoint,,,,,,True,False,An augmentation point for ActivityFacilityAssociationType.
ActivityFrequencyText,nc:TextType,TextType,,,,False,True,A description of the number of occurrences of an activity over a period of time.
ActivityIdentification,nc:IdentificationType,IdentificationType,,,,False,True,An identification that references an activity.
ActivityInformationAbstracterOrganizationAssociation,nc:ActivityOrganizationAssociationType,ActivityOrganizationAssociationType,,,,False,True,An association between an activity and an organization that abstracted information for that activity.
ActivityInformationClearerOrganizationAssociation,nc:ActivityOrganizationAssociationType,ActivityOrganizationAssociationType,,,,False,True,An association between an activity and an organization that cleared information for that activity.
ActivityInvolvedOrganizationAssociation,nc:ActivityOrganizationAssociationType,ActivityOrganizationAssociationType,,,,False,True,An association between an activity and an organization somehow involved in that activity.
ActivityInvolvementAbstract,,,,,,True,False,A data concept for a description of the involvement of an entity in an activity.
ActivityInvolvementText,nc:TextType,TextType,,nc:ActivityInvolvementAbstract,ActivityInvolvementAbstract,False,True,A description of the involvement of an entity in an activity.
ActivityItemAssociation,nc:ActivityItemAssociationType,ActivityItemAssociationType,,,,False,True,An association between an activity and an item.
ActivityItemAssociationAugmentationPoint,,,,,,True,False,An augmentation point for ActivityItemAssociationType.
ActivityLocation,nc:LocationType,LocationType,,,,False,True,A location of an activity.
ActivityName,nc:TextType,TextType,,,,False,True,A name of an activity.
ActivityNarrative,nc:CommentType,CommentType,,,,False,True,An account of an activity as reported by an observer.
ActivityOrganizationAssociationAugmentationPoint,,,,,,True,False,An augmentation point for ActivityOrganizationAssociationType.
ActivityPersonAssociation,nc:ActivityPersonAssociationType,ActivityPersonAssociationType,,,,False,True,An association between a person and an activity in which a person was or may have been involved.
ActivityPersonAssociationAugmentationPoint,,,,,,True,False,An augmentation point for ActivityPersonAssociationType.
ActivityPrescribedDuration,niem-xs:duration,duration,,,,False,True,A prescribed period of time allowed or required for an activity.
ActivityPrimaryOrganizationAssociation,nc:ActivityOrganizationAssociationType,ActivityOrganizationAssociationType,,,,False,True,An association between an activity and an organization primarily associated with that activity.
ActivityReasonAbstract,,,,,,True,False,A data concept for a reason for an activity.
ActivityReasonText,nc:TextType,TextType,,nc:ActivityReasonAbstract,ActivityReasonAbstract,False,True,A reason for an activity.
ActivityRelationAbstract,,,,,,True,False,A data concept for a relationship between activities.
ActivityRelationText,nc:TextType,TextType,,nc:ActivityRelationAbstract,ActivityRelationAbstract,False,True,A relationship between activities.
ActivityReportedDate,nc:DateType,DateType,,,,False,True,A date an activity was reported to some entity.
ActivityReportingOrganizationAssociation,nc:ActivityOrganizationAssociationType,ActivityOrganizationAssociationType,,,,False,True,An association between an activity and an organization that is reporting to that activity.
ActivityRequestedDate,nc:DateType,DateType,,,,False,True,A date an activity was requested by an entity.
ActivityResponsibleOrganizationAssociation,nc:ActivityOrganizationAssociationType,ActivityOrganizationAssociationType,,,,False,True,An association between an activity and an organization with responsibility over that activity.
ActivityScheduleAssociation,nc:ActivityScheduleAssociationType,ActivityScheduleAssociationType,,,,False,True,An association between an activity and its schedule.
ActivityScheduleAssociationAugmentationPoint,,,,,,True,False,An augmentation point for ActivityScheduleAssociationType.
ActivityScheduledDate,nc:DateType,DateType,,,,False,True,A date when an activity is scheduled.
ActivitySequenceNumeric,nc:NumericType,NumericType,,,,False,True,A numerical identifier across multiple activities to define the order that they should be scheduled and undertaken.
ActivitySiteAssociation,nc:ActivitySiteAssociationType,ActivitySiteAssociationType,,,,False,True,An association between an activity and a site.
ActivitySiteAssociationAugmentationPoint,,,,,,True,False,An augmentation point for nc:ActivitySiteAssociationType.
ActivityStatus,nc:StatusType,StatusType,,,,False,True,A status of an activity.
ActivitySupervisorOrganizationAssociation,nc:ActivityOrganizationAssociationType,ActivityOrganizationAssociationType,,,,False,True,An association between an activity and an organization supervising that activity.
ActivitySupervisorPersonAssociation,nc:ActivityPersonAssociationType,ActivityPersonAssociationType,,,,False,True,An association between an activity and a person who supervises the activity.
ActivityVerifiedDate,nc:DateType,DateType,,,,False,True,A date when an activity is verified.
Address,nc:AddressType,AddressType,,nc:LocationAddressAbstract,LocationAddressAbstract,False,True,"A set of location information, often described by postal information."
AddressAugmentationPoint,,,,,,True,False,An augmentation point for AddressType.
AddressBuildingName,nc:TextType,TextType,,nc:AddressDeliveryPointAbstract,AddressDeliveryPointAbstract,False,True,A name of a specific building at an address to distinguish it from other buildings at the same site.
AddressCategoryAbstract,,,,,,True,False,A data concept for a kind of address.
AddressCategoryCode,nc:AddressCategoryCodeType,AddressCategoryCodeType,,nc:AddressCategoryAbstract,AddressCategoryAbstract,False,True,A kind of address.
AddressCategoryText,nc:TextType,TextType,,nc:AddressCategoryAbstract,AddressCategoryAbstract,False,True,A kind of address.
AddressCityName,nc:ProperNameTextType,ProperNameTextType,,,,False,True,A name of a city or town.
AddressCountry,nc:CountryType,CountryType,,,,False,True,"A country, territory, dependency, or other such geopolitical subdivision of a location."
AddressCountyAbstract,,,,,,True,False,"A data concept for a county, parish, vicinage, or other such geopolitical subdivision of a state."
AddressCountyName,nc:ProperNameTextType,ProperNameTextType,,nc:AddressCountyAbstract,AddressCountyAbstract,False,True,"A name of a county, parish, vicinage, or other such geopolitical subdivision of a state."
AddressCrossStreet,nc:CrossStreetType,CrossStreetType,,nc:LocationAddressAbstract,LocationAddressAbstract,False,True,A location identified by two or more streets which intersect.
AddressDeliveryPointAbstract,,,,,,True,False,A data concept for a single place or unit at which mail is delivered.
AddressDeliveryPointID,niem-xs:string,string,,nc:AddressDeliveryPointAbstract,AddressDeliveryPointAbstract,False,True,An identifier of a single place or unit at which mail is delivered.
AddressDeliveryPointText,nc:TextType,TextType,,nc:AddressDeliveryPointAbstract,AddressDeliveryPointAbstract,False,True,A single place or unit at which mail is delivered.
AddressFullText,nc:TextType,TextType,,,,False,True,A complete address.
AddressGrid,nc:AddressGridType,AddressGridType,,nc:LocationAddressAbstract,LocationAddressAbstract,False,True,A location identified by a unit of a grid system overlaid on an area.
AddressGridAugmentationPoint,,,,,,True,False,An augmentation point for AddressGridType.
AddressGridID,niem-xs:string,string,,,,False,True,An identifier that references a unique address grid system.
AddressGridText,nc:TextType,TextType,,,,False,True,"A unit, quadrant, or other subdivision of an address grid."
AddressHighway,nc:HighwayType,HighwayType,,nc:LocationAddressAbstract,LocationAddressAbstract,False,True,A major public road.
AddressPostalCode,niem-xs:string,string,,,,False,True,An identifier of a post office-assigned zone for an address.
AddressPostalExtensionCode,niem-xs:string,string,,,,False,True,An identifier of a smaller area within a post office-assigned zone for an address.
AddressPrivateMailboxText,nc:TextType,TextType,,,,False,True,A private mailbox within a company.
AddressRecipientName,nc:TextType,TextType,,,,False,True,"A name of a person, organization, or other recipient to whom physical mail may be sent."
AddressRouteName,nc:TextType,TextType,,nc:AddressDeliveryPointAbstract,AddressDeliveryPointAbstract,False,True,A name and number of a postal route.
AddressSecondaryUnitText,nc:TextType,TextType,,,,False,True,A particular unit within a larger unit or grouping at a location.
AddressState,nc:StateType,StateType,,,,False,True,"A state, commonwealth, province, or other such geopolitical subdivision of a country."
AddressStreet,nc:StreetType,StreetType,,nc:AddressDeliveryPointAbstract,AddressDeliveryPointAbstract,False,True,"A road, thoroughfare or highway."
AddressUrbanizationName,nc:TextType,TextType,,,,False,True,"An urbanization denotes an area, sector, or residential development within a geographic area. Commonly used in Puerto Rican urban areas, it is an important part of the addressing format, as it describes the location of a specific street whose name may occur multiple times within the same ZIP Code."
AdministrativeID,niem-xs:string,string,,,,False,True,An identifier generated locally within a processing system used to identify sub-records within an entity of interest record.
Agency,nc:OrganizationType,OrganizationType,,,,False,True,A division of a governmental or international body.
Aircraft,nc:AircraftType,AircraftType,,,,False,True,A mode of transportation capable of flying in the air.
AircraftAugmentationPoint,,,,,,True,False,An augmentation point for AircraftType.
AircraftBaseAirport,nc:AirportType,AirportType,,,,False,True,A facility at which an aircraft is usually kept.
AircraftCallSignIdentification,nc:IdentificationType,IdentificationType,,,,False,True,"An identification of any combination of characters or pronounceable words, which identifies a communication facility, a command, an authority, an activity, or a unit; used primarily for establishing and maintaining communications."
AircraftCategoryAbstract,,,,,,True,False,A data concept for categorizing aircraft based upon intended use or operating limitations.
AircraftFuselageColorAbstract,,,,,,True,False,A data concept for a primary color of the main body of an aircraft.
AircraftFuselageColorText,nc:TextType,TextType,,nc:AircraftFuselageColorAbstract,AircraftFuselageColorAbstract,False,True,A color of the main body of an aircraft.
AircraftMakeAbstract,,,,,,True,False,A data concept for a manufacturer of an aircraft.
AircraftModelAbstract,,,,,,True,False,A data concept for a specific design or kind of aircraft made by a manufacturer.
AircraftStyleAbstract,,,,,,True,False,A data concept for a style of an aircraft.
AircraftTailIdentification,nc:IdentificationType,IdentificationType,,,,False,True,An identification of an aircraft.
AircraftWingColorAbstract,,,,,,True,False,A data concept for a primary color of the wings on an aircraft.
AircraftWingColorText,nc:TextType,TextType,,nc:AircraftWingColorAbstract,AircraftWingColorAbstract,False,True,A color of the wings of an aircraft.
Airport,nc:AirportType,AirportType,,,,False,True,"A facility where an aircraft may take off, land, be repaired or sheltered, or receive supplies."
AirportAugmentationPoint,,,,,,True,False,An augmentation point for AirportType.
AirportCodeAbstract,,,,,,True,False,A data concept for a code assigned to an airport used for identification.
AirportCodeText,nc:TextType,TextType,,nc:AirportCodeAbstract,AirportCodeAbstract,False,True,A code assigned to an airport facility used for identification.
Amount,niem-xs:decimal,decimal,,,,False,True,An amount of money.
AmountAugmentationPoint,,,,,,True,False,An augmentation point for AmountType.
AngleMeasure,nc:AngleMeasureType,AngleMeasureType,,,,False,True,A measure of an angular value.
AngleMeasureAugmentationPoint,,,,,,True,False,An augmentation point for type nc:AngleMeasureType
AngleUnitAbstract,,,,,,True,False,A data concept for a unit of measure of an angle value.
AngularDegreeValue,niem-xs:decimal,decimal,,,,False,True,A value that specifies a degree of an angular measure.
AngularMeasure,nc:AngularMeasureType,AngularMeasureType,,,,False,True,A measurement of an angle.
AngularMeasureAugmentationPoint,,,,,,True,False,An augmentation point for AngularMeasureType.
AngularMinuteValue,nc:AngularMinuteType,AngularMinuteType,,,,False,True,A value that specifies a minute of a degree. The value comes from a restricted range of 0 (inclusive) to 60 (exclusive).
AngularRateMeasure,nc:AngularRateMeasureType,AngularRateMeasureType,,,,False,True,A measure of the angular rate of change.
AngularRateMeasureAugmentationPoint,,,,,,True,False,An augmentation point for type nc:AngularRateMeasureType
AngularRateUnitAbstract,,,,,,True,False,A data concept for a unit of measure of an angular rate of change.
AngularSecondValue,nc:AngularSecondType,AngularSecondType,,,,False,True,A value that specifies a second of a minute. The value comes from a restricted range of 0 (inclusive) to 60 (exclusive).
Anomaly,nc:AnomalyType,AnomalyType,,,,False,True,An out-of-the-ordinary occurrence.
AnomalyAugmentationPoint,,,,,,True,False,An augmentation point for AnomalyType.
AnomalyCategoryAbstract,,,,,,True,False,A data concept for a type or kind of anomaly.
AnomalyCategoryText,nc:TextType,TextType,,nc:AnomalyCategoryAbstract,AnomalyCategoryAbstract,False,True,A kind of anomaly.
AnomalyContactInformation,nc:ContactInformationType,ContactInformationType,,,,False,True,A point of contact for further information regarding an anomaly.
AnomalyDateTime,nc:DateType,DateType,,,,False,True,A date and time an anomaly occurred.
AnomalyDescriptionText,nc:TextType,TextType,,,,False,True,A description of an anomaly.
AnomalyLocation,nc:LocationType,LocationType,,,,False,True,A location where an anomaly occurred.
Area,nc:AreaType,AreaType,,,,False,True,A location identified by geographic boundaries.
AreaAugmentationPoint,,,,,,True,False,An augmentation point for AreaType.
AreaCircularRegion,nc:CircularRegionType,CircularRegionType,,nc:AreaRegionAbstract,AreaRegionAbstract,False,True,A circular area identified by a center coordinate and a radius.
AreaDescriptionText,nc:TextType,TextType,,,,False,True,A description of an area.
AreaGeographicAbstract,,,,,,True,False,A data concept for a local or map-specific geographically-based code used to describe an area.
AreaMeasure,nc:AreaMeasureType,AreaMeasureType,,,,False,True,A measure of the amount of space covered by a flat surface or piece of land.
AreaMeasureAugmentationPoint,,,,,,True,False,An augmentation point for type nc:AreaMeasureType
AreaMeasureUnitAbstract,,,,,,True,False,A data concept for a unit of measure for area.
AreaPolygonRegion,nc:PolygonRegionType,PolygonRegionType,,nc:AreaRegionAbstract,AreaRegionAbstract,False,True,A polygon area identified by a set of coordinates.
AreaRegionAbstract,,,,,,True,False,A data concept for a location identified by geographic boundaries.
Arrival,nc:ArrivalType,ArrivalType,,,,False,True,A coming to one location from another.
ArrivalAugmentationPoint,,,,,,True,False,An augmentation point for type nc:ArrivalType
ArrivalDate,nc:DateType,DateType,,,,False,True,A date of arrival.
ArrivalEstimatedDate,nc:DateType,DateType,,,,False,True,An estimated date of arrival.
ArrivalLocation,nc:LocationType,LocationType,,,,False,True,A location of arrival.
Assessment,nc:AssessmentType,AssessmentType,,,,False,True,"An evaluation, appraisal, or assessment of something or someone."
AssessmentAssessor,nc:EntityType,EntityType,,,,False,True,A person who performs an assessment.
AssessmentAugmentationPoint,,,,,,True,False,An augmentation point for AssessmentType.
AssessmentCategoryAbstract,,,,,,True,False,A data concept for a kind of assessment.
AssessmentComment,nc:CommentType,CommentType,,,,False,True,A comment about the assessment.
AssessmentFee,nc:ObligationType,ObligationType,,,,False,True,An amount of money charged to perform an assessment.
AssessmentImage,nc:ImageType,ImageType,,,,False,True,A picture of the assessment
AssessmentOutcomeText,nc:TextType,TextType,,,,False,True,An outcome of an assessment. Examples of outcomes include a plan of action developed or certain tasks performed.
AssessmentPerson,nc:PersonType,PersonType,,,,False,True,A person who undergoes an assessment.
AssessmentProgram,nc:ProgramType,ProgramType,,,,False,True,A program a person attends or undergoes in which an assessment is made.
AssessmentRecommendation,nc:CommentType,CommentType,,,,False,True,A recommendation or result of an assessment.
AssessmentReferral,nc:ReferralType,ReferralType,,,,False,True,An order or direction for an assessment to be performed.
AssessmentReport,nc:DocumentType,DocumentType,,,,False,True,A report that documents an assessment.
AssessmentScoreAbstract,,,,,,True,False,A data concept for an outcome or evaluation score of an assessment.
AssessmentScoreText,nc:TextType,TextType,,nc:AssessmentScoreAbstract,AssessmentScoreAbstract,False,True,An outcome or evaluation score of an assessment.
AssessmentSummaryText,nc:TextType,TextType,,,,False,True,A summary about the assessment.
AssessmentToolDescriptionText,nc:TextType,TextType,,,,False,True,A description of the assessment tool.
AssessmentToolName,nc:TextType,TextType,,,,False,True,A name of the administered assessment tool.
Association,nc:AssociationType,AssociationType,,,,False,True,"An association, connection, relationship, or involvement somehow linking people, things, and/or activities together."
AssociationAugmentationPoint,,,,,,True,False,An augmentation point for AssociationType.
AssociationDateRange,nc:DateRangeType,DateRangeType,,,,False,True,A date range in which an association occurs.
AssociationDescriptionText,nc:TextType,TextType,,,,False,True,A description of an association.
Attachment,nc:BinaryType,BinaryType,,,,False,True,A binary attachment to a report or document.
Azimuth360Value,nc:Degree360Type,Degree360Type,,nc:AzimuthAbstract,AzimuthAbstract,False,True,An orientation of something with respect to True North.
AzimuthAbstract,,,,,,True,False,A data concept for an orientation of something with respect to True North.
AzimuthDecimalValue,niem-xs:decimal,decimal,,nc:AzimuthAbstract,AzimuthAbstract,False,True,An orientation of something with respect to True North.
Base64BinaryObject,niem-xs:base64Binary,base64Binary,,nc:BinaryObjectAbstract,BinaryObjectAbstract,False,True,A base64 binary encoding of data.
Bearing,nc:BearingType,BearingType,,,,False,True,A direction in a polar coordinate system.
BearingAugmentationPoint,,,,,,True,False,An augmentation point for BearingType.
BeginTime,niem-xs:time,time,,,,False,True,A start or begin time.
Binary,nc:BinaryType,BinaryType,,,,False,True,A digital representation of an object encoded in a binary format.
BinaryAugmentationPoint,,,,,,True,False,An augmentation point for BinaryType.
BinaryAvailableIndicator,niem-xs:boolean,boolean,,,,False,True,True if a binary is available; false if it is not.
BinaryCaptureDate,nc:DateType,DateType,,,,False,True,A date on which a binary object is captured or created.
BinaryCapturer,nc:EntityType,EntityType,,,,False,True,An entity which captured or created a binary object.
BinaryCategoryAbstract,,,,,,True,False,A data concept for a kind of binary object.
BinaryCategoryText,nc:TextType,TextType,,nc:BinaryCategoryAbstract,BinaryCategoryAbstract,False,True,A kind of object that has been encoded.
BinaryDescriptionText,nc:TextType,TextType,,,,False,True,A description of a binary object.
BinaryFormatAbstract,,,,,,True,False,A data concept for a file format or content type of a binary object.
BinaryFormatStandardName,nc:TextType,TextType,,,,False,True,A name of a standard or protocol used to classify binary content.
BinaryFormatText,nc:TextType,TextType,,nc:BinaryFormatAbstract,BinaryFormatAbstract,False,True,A file format or content type of a binary object.
BinaryHash,nc:BinaryHashType,BinaryHashType,,,,False,True,A hash value representing an object encoded in a binary format.
BinaryHashAugmentationPoint,,,,,,True,False,An augmentation point for type nc:BinaryHashType
BinaryHashCode,niem-xs:string,string,,,,False,True,A binary hash value.
BinaryHashFunctionAbstract,,,,,,True,False,A data concept for a hash function used to generate a hash value representing an object encoded in a binary format.
BinaryHashFunctionCode,nc:BinaryHashFunctionCodeType,BinaryHashFunctionCodeType,,nc:BinaryHashFunctionAbstract,BinaryHashFunctionAbstract,False,True,A hash function used to generate a hash value representing an object encoded in a binary format.
BinaryHashFunctionText,nc:TextType,TextType,,nc:BinaryHashFunctionAbstract,BinaryHashFunctionAbstract,False,True,A hash function used to generate a hash value representing an object encoded in a binary format.
BinaryID,niem-xs:string,string,,,,False,True,An identifier that references a binary object.
BinaryLocation,nc:LocationType,LocationType,,,,False,True,A physical location of a binary object.
BinaryObjectAbstract,,,,,,True,False,A data concept for a binary encoding of data.
BinarySizeValue,nc:NonNegativeDecimalType,NonNegativeDecimalType,,,,False,True,A size of a binary object in kilobytes.
BinaryURI,niem-xs:anyURI,anyURI,,,,False,True,A URL or file reference of a binary object.
CalendarDate,nc:DateType,DateType,,,,False,True,A particular date represented within a calendar system.
Capability,nc:CapabilityType,CapabilityType,,,,False,True,An ability to complete a task or execute a course of action under specified condition and level of performance.
CapabilityAugmentationPoint,,,,,,True,False,An augmentation point for CapabilityType.
CapabilityCategoryAbstract,,,,,,True,False,A data concept for a specific kind of capacity or ability.
CapabilityCategoryText,nc:TextType,TextType,,nc:CapabilityCategoryAbstract,CapabilityCategoryAbstract,False,True,A specific kind of capacity or ability.
CapabilityDescriptionText,nc:TextType,TextType,,,,False,True,A description of a capacity or ability.
CapabilityEndDate,nc:DateType,DateType,,,,False,True,A date that ends the capability
CapabilityGeneralCategoryAbstract,,,,,,True,False,A data concept for a general classification of a kind of capacity or ability.
CapabilityGeneralCategoryText,nc:TextType,TextType,,nc:CapabilityGeneralCategoryAbstract,CapabilityGeneralCategoryAbstract,False,True,A general classification of a kind of capacity or ability.
CapabilityIdentification,nc:IdentificationType,IdentificationType,,,,False,True,An identification for a capability.
CapabilityIsLimitationIndicator,niem-xs:boolean,boolean,,,,False,True,True if a capability implies an inability to do something; false otherwise.
CapabilityName,nc:TextType,TextType,,,,False,True,A name for a capability.
CapabilityProficiencyText,nc:TextType,TextType,,,,False,True,A skillfulness in the command of fundamentals deriving from practice and familiarity.
CapabilityStartDate,nc:DateType,DateType,,,,False,True,A date for the start of a capability.
Case,nc:CaseType,CaseType,,,,False,True,An aggregation of information about a set of related activities and events.
CaseAugmentationPoint,,,,,,True,False,An augmentation point for CaseType.
CaseCategoryAbstract,,,,,,True,False,A data concept for a kind of case.
CaseCategoryText,nc:TextType,TextType,,nc:CaseCategoryAbstract,CaseCategoryAbstract,False,True,A kind of case.
CaseDisposition,nc:CaseDispositionType,CaseDispositionType,,nc:ActivityDisposition,ActivityDisposition,False,True,An outcome or processing of a case.
CaseDispositionAugmentationPoint,,,,,,True,False,An augmentation point for CaseDispositionType.
CaseDispositionDecision,nc:CaseDispositionDecisionType,CaseDispositionDecisionType,,,,False,True,A case disposition occurring as a result of some decision.
CaseDispositionDecisionAugmentationPoint,,,,,,True,False,An augmentation point for CaseDispositionDecisionType.
CaseDispositionDecisionCategoryAbstract,,,,,,True,False,A data concept for a kind of decision made in a case disposition.
CaseDispositionDecisionCategoryText,nc:TextType,TextType,,nc:CaseDispositionDecisionCategoryAbstract,CaseDispositionDecisionCategoryAbstract,False,True,A kind of decision made in a case disposition.
CaseDispositionDecisionText,nc:TextType,TextType,,,,False,True,A literal language of a decision.
CaseDispositionFinalDate,nc:DateType,DateType,,,,False,True,A date that all charges in a case were disposed.
CaseDocketID,niem-xs:string,string,,,,False,True,An identifier used to reference a case docket.
CaseFiling,nc:DocumentType,DocumentType,,,,False,True,A document or other piece of information filed by someone or something involved in a case.
CaseGeneralCategoryAbstract,,,,,,True,False,A data concept for a broadly defined kind of case.
CaseGeneralCategoryText,nc:TextType,TextType,,nc:CaseGeneralCategoryAbstract,CaseGeneralCategoryAbstract,False,True,A broadly defined kind of case.
CaseResolutionText,nc:TextType,TextType,,,,False,True,A result of a case.
CaseSubCategoryAbstract,,,,,,True,False,A data concept for a more specific classification of a kind of case.
CaseSubCategoryText,niem-xs:string,string,,nc:CaseSubCategoryAbstract,CaseSubCategoryAbstract,False,True,A more specific classification of a kind of case.
CaseTitleText,nc:TextType,TextType,,,,False,True,An official name of a case.
CaseTrackingID,niem-xs:string,string,,,,False,True,An identifier used to track a case.
CaseYearDate,niem-xs:gYear,gYear,,,,False,True,A year a case is opened.
CaveatAugmentationPoint,,,,,,True,False,An augmentation point for CaveatType.
CaveatIssuingAuthorityText,nc:TextType,TextType,,,,False,True,A source of the caveat information
CaveatReferenceDate,nc:DateType,DateType,,,,False,True,A date of the caveat information.
CaveatText,nc:TextType,TextType,,,,False,True,A warning or caution about the information.
Chemical,nc:SubstanceType,SubstanceType,,,,False,True,A substance used in or produced by a chemical process.
CircularRegion,nc:CircularRegionType,CircularRegionType,,,,False,True,A circular area identified by a center coordinate and a radius.
CircularRegionAugmentationPoint,,,,,,True,False,An augmentation point for CircularRegionType.
CircularRegionCenterCoordinate,nc:Location2DGeospatialCoordinateType,Location2DGeospatialCoordinateType,,,,False,True,A geographic coordinate located at the center of a circular region.
CircularRegionRadiusLengthMeasure,nc:LengthMeasureType,LengthMeasureType,,,,False,True,A distance from the center point to the circumference or boundary of a circular region.
Comment,nc:CommentType,CommentType,,,,False,True,"A comment, note, or remark."
CommentAugmentationPoint,,,,,,True,False,An augmentation point for CommentType.
CommentAuthorText,nc:TextType,TextType,,,,False,True,A name or role of the author of a comment.
CommentCreationDate,nc:DateType,DateType,,,,False,True,A date a comment was created.
CommentText,nc:TextType,TextType,,,,False,True,"A comment, note, or remark providing additional information."
CommentTitleText,nc:TextType,TextType,,,,False,True,A name of a comment.
CommercialFacility,nc:FacilityType,FacilityType,,,,False,True,A structure used for business purposes.
Computer,nc:DeviceType,DeviceType,,,,False,True,A device that processes information based on a set of instructions.
Condition,nc:ConditionType,ConditionType,,,,False,True,A requirement or stipulation.
ConditionAugmentationPoint,,,,,,True,False,An augmentation point for ConditionType.
ConditionDisciplinaryAction,nc:DisciplinaryActionType,DisciplinaryActionType,,,,False,True,A corrective action that is specified as part of a condition.
ConditionGroupID,niem-xs:string,string,,,,False,True,An identifier of a group of conditions to which this condition belongs.
ConditionMandatoryIndicator,niem-xs:boolean,boolean,,,,False,True,True if a condition is strictly required; false otherwise.
ConditionSetDate,nc:DateType,DateType,,,,False,True,A date a condition was set.
ConditionViolatedIndicator,niem-xs:boolean,boolean,,,,False,True,True if a condition has been violated; false otherwise.
ConditionViolationAbstract,,,,,,True,False,A data concept for a violation of a condition.
ConditionViolationDate,nc:DateType,DateType,,,,False,True,A date a condition was violated.
ConditionViolationText,nc:TextType,TextType,,nc:ConditionViolationAbstract,ConditionViolationAbstract,False,True,A violation of a condition.
ConfidencePercent,nc:PercentType,PercentType,,,,False,True,A value that indicates belief that content is accurate or trustworthy.
ConsumptionRateMeasure,nc:ConsumptionRateMeasureType,ConsumptionRateMeasureType,,,,False,True,A measure of a rate of consumption.
ConsumptionRateMeasureAugmentationPoint,,,,,,True,False,An augmentation point for type nc:ConsumptionRateMeasureType
ConsumptionRateUnitAbstract,,,,,,True,False,A data concept for a unit of measure of a rate of consumption value.
ContactEmailID,niem-xs:string,string,,nc:ContactMeansAbstract,ContactMeansAbstract,False,True,An electronic mailing address by which a person or organization may be contacted.
ContactEntity,nc:EntityType,EntityType,,,,False,True,An entity that may be contacted by using the given contact information.
ContactEntityDescriptionText,nc:TextType,TextType,,,,False,True,A description of the entity being contacted.
ContactInformation,nc:ContactInformationType,ContactInformationType,,,,False,True,A set of details about how to contact a person or an organization.
ContactInformationAugmentationPoint,,,,,,True,False,An augmentation point for ContactInformationType.
ContactInformationAvailabilityAbstract,,,,,,True,False,A data concept for a period of time or a situation in which an entity is available to be contacted with the given contact information.
ContactInformationAvailabilityCode,nc:ContactInformationAvailabilityCodeType,ContactInformationAvailabilityCodeType,,nc:ContactInformationAvailabilityAbstract,ContactInformationAvailabilityAbstract,False,True,A period of time or a situation in which an entity is available to be contacted with the given contact information.
