name,type,typeLocal,ref,substitutionGroup,substitutionGroupLocal,abstract,nillable,documentation
StartDate,nc:DateType,DateType,,,,False,True,A date on which something begins.
StateAugmentationPoint,,,,,,True,False,An augmentation point for type nc:StateType
StateCode,nc:CodeType,CodeType,,nc:StateRepresentation,StateRepresentation,False,True,"A state, commonwealth, province, or other such geopolitical subdivision of a country."
StateName,nc:ProperNameTextType,ProperNameTextType,,nc:StateRepresentation,StateRepresentation,False,True,"A name of a state, commonwealth, province, or other such geopolitical subdivision of a country."
StateRepresentation,,,,,,True,False,"A data concept for a representation of a state, commonwealth, province, or other such geopolitical subdivision of a country."
Status,nc:StatusType,StatusType,,,,False,True,A state of something or someone.
StatusAbstract,,,,,,True,False,A data concept for a status or condition of something or someone.
StatusAugmentationPoint,,,,,,True,False,An augmentation point for StatusType.
StatusCommentText,nc:TextType,TextType,,,,False,True,A comment regarding a status.
StatusDate,nc:DateType,DateType,,,,False,True,"A date a status was set, effected, or reported."
StatusDescriptionText,nc:TextType,TextType,,,,False,True,A description of a status or condition of something or someone.
StatusIssuerIdentification,nc:IdentificationType,IdentificationType,,,,False,True,An identification of a person or organization which assigns a status.
StatusIssuerText,nc:TextType,TextType,,,,False,True,"A name, identifier, or other reference of a person or organization which assigns a status."
StatusText,nc:TextType,TextType,,nc:StatusAbstract,StatusAbstract,False,True,A status or condition of something or someone.
StrangerAssociation,nc:PersonAssociationType,PersonAssociationType,,,,False,True,An association between people who do not know each other.
StreetAugmentationPoint,,,,,,True,False,An augmentation point for StreetType.
StreetCategoryAbstract,,,,,,True,False,A data concept for a kind of street.
StreetCategoryText,nc:TextType,TextType,,nc:StreetCategoryAbstract,StreetCategoryAbstract,False,True,A kind of street.
StreetDirectionalAugmentationPoint,,,,,,True,False,An augmentation point for type nc:StreetDirectionalType
StreetDirectionalRepresentation,,,,,,True,False,A data concept for a representation of a direction that appears in a street name.
StreetDirectionalText,nc:TextType,TextType,,nc:StreetDirectionalRepresentation,StreetDirectionalRepresentation,False,True,A direction that in a street name.
StreetExtensionText,nc:TextType,TextType,,,,False,True,An additional part of a street reference that follows the street category and post directional.
StreetFullText,nc:TextType,TextType,,,,False,True,A complete reference for a street.
StreetName,nc:ProperNameTextType,ProperNameTextType,,,,False,True,A name of a street.
StreetNumberText,nc:TextType,TextType,,,,False,True,A number that identifies a particular unit or location within a street.
StreetPostdirectional,nc:StreetDirectionalType,StreetDirectionalType,,,,False,True,A direction that appears after a street name.
StreetPredirectional,nc:StreetDirectionalType,StreetDirectionalType,,,,False,True,A direction that appears before a street name.
Student,nc:StudentType,StudentType,,,,False,True,"A person formally engaged in learning, especially one enrolled in a school or college."
StudentAugmentationPoint,,,,,,True,False,An augmentation point for type nc:StudentType
StudentIdentification,nc:IdentificationType,IdentificationType,,,,False,True,A unique alphanumeric identification assigned to a student by an education organization.
SubFacility,nc:FacilityType,FacilityType,,,,False,True,A facility within another facility.
Substance,nc:SubstanceType,SubstanceType,,,,False,True,A matter or substance of which something consists.
SubstanceAbstract,,,,,,True,False,A data concept for a name of a substance.
SubstanceAugmentationPoint,,,,,,True,False,An augmentation point for SubstanceType.
SubstanceCategoryAbstract,,,,,,True,False,A data concept for a kind of substance.
SubstanceCategoryText,nc:TextType,TextType,,nc:SubstanceCategoryAbstract,SubstanceCategoryAbstract,False,True,A kind of substance.
SubstanceCompositionDescriptionText,nc:TextType,TextType,,,,False,True,A description of the ingredients or makeup of a substance.
SubstanceContainerDescriptionText,nc:TextType,TextType,,,,False,True,A description of a container used to hold a substance.
SubstanceFormAbstract,,,,,,True,False,A data concept for a physical state or form in which a substance appears.
SubstanceFormText,nc:TextType,TextType,,nc:SubstanceFormAbstract,SubstanceFormAbstract,False,True,A physical state or form in which a substance appears.
SubstanceFoundDescriptionText,nc:TextType,TextType,,,,False,True,A description of where a substance was found.
SubstanceMeasure,nc:SubstanceMeasureType,SubstanceMeasureType,,,,False,True,A measure of the amount of something.
SubstanceMeasureAugmentationPoint,,,,,,True,False,An augmentation point for type nc:SubstanceMeasureType
SubstanceQuantityMeasure,nc:SubstanceMeasureType,SubstanceMeasureType,,,,False,True,A quantity of a substance being described.
SubstanceUnitAbstract,,,,,,True,False,A data concept for a unit of measure for an amount of substance.
Supervision,nc:SupervisionType,SupervisionType,,,,False,True,"A process of overseeing, supervising, or keeping track in some capacity of a person."
SupervisionAugmentationPoint,,,,,,True,False,An augmentation point for SupervisionType.
SupervisionCurrentIndicator,niem-xs:boolean,boolean,,,,False,True,True if a subject is currently under supervision; false otherwise.
SupervisionCustodyStatus,nc:StatusType,StatusType,,,,False,True,A status of the custody of a person under supervision.
SupervisionFacility,nc:FacilityType,FacilityType,,,,False,True,A facility at which a subject is being supervised.
SupervisionMandatoryIndicator,niem-xs:boolean,boolean,,,,False,True,True if a supervision of a person is required; false if a supervision is optional.
SupervisionPerson,nc:PersonType,PersonType,,,,False,True,A person who is being supervised.
SupervisionPersonStatus,nc:StatusType,StatusType,,,,False,True,A status of a person under supervision.
SupervisionRelease,nc:ReleaseType,ReleaseType,,,,False,True,A complete and unrestricted release of a subject from a supervision.
SupervisionSupervisor,nc:EntityType,EntityType,,,,False,True,An entity that supervises a person.
SystemAuditEvent,nc:SystemAuditEventType,SystemAuditEventType,,,,False,True,A set of system event data for audit reporting purposes.
SystemAuditEventAugmentationPoint,,,,,,True,False,An augmentation point for SystemAuditEventType.
SystemIdentificationAugmentationPoint,,,,,,True,False,An augmentation point for SystemIdentificationType.
SystemName,nc:TextType,TextType,,,,False,True,A name of the kind or the source of a system identifier.
SystemOperatingModeAbstract,,,,,,True,False,A data concept for the operating mode of a system.
SystemOperatingModeName,nc:TextType,TextType,,nc:SystemOperatingModeAbstract,SystemOperatingModeAbstract,False,True,A name of the operating mode of a system.
SystemUserNameAbstract,,,,,,True,False,A data concept for a user name associated with a system audit event.
Task,nc:TaskType,TaskType,,,,False,True,A clearly defined action or activity specifically assigned to an individual or organization that must be done as it is imposed by an appropriate authority.
TaskAssignedDate,nc:DateType,DateType,,,,False,True,A date that a task was assigned.
TaskAssignedEntity,nc:EntityType,EntityType,,,,False,True,An entity assigned to complete a task.
TaskAugmentationPoint,,,,,,True,False,An augmentation point for type nc:TaskType
TaskCompletedIndicator,niem-xs:boolean,boolean,,,,False,True,True if a task has been completed; false otherwise.
TaskCompletedPercent,nc:PercentType,PercentType,,,,False,True,A percent representing the amount of the task that has been completed.
TaskDescriptionText,niem-xs:string,string,,,,False,True,A description of the task in detail.
TaskDueDate,nc:DateType,DateType,,,,False,True,A date on which a task is due to be completed.
TaskEndDate,nc:DateType,DateType,,,,False,True,A date for the actual end of a task.
TaskFunctionAbstract,,,,,,True,False,"A data concept for a function, assignment, or task that is part of a plan."
TaskID,niem-xs:string,string,,,,False,True,An identifier for a task.
TaskLocation,nc:LocationType,LocationType,,,,False,True,A location at which a task will occur.
TaskName,niem-xs:string,string,,,,False,True,A name of a task.
TaskOutcomeDescriptionText,nc:TextType,TextType,,,,False,True,A description of an outcome of a task.
TaskStartDate,nc:DateType,DateType,,,,False,True,A date for the start of a task.
TaskStatus,nc:StatusType,StatusType,,,,False,True,A status of the task.
TaskSuccessCriteriaText,nc:TextType,TextType,,,,False,True,A description of what needs to be done to successfully complete a task.
TelecommunicationDevice,nc:DeviceType,DeviceType,,,,False,True,A device used for communication over a distance.
TelecommunicationDeviceSIMCardAssociation,nc:TelecommunicationDeviceSIMCardAssociationType,TelecommunicationDeviceSIMCardAssociationType,,,,False,True,An association between a telecommunication device and a SIM card.
TelecommunicationDeviceSIMCardAssociationAugmentationPoint,,,,,,True,False,An augmentation point for TelecommunicationDeviceSIMCardAssociationType.
TelephoneAreaCodeID,niem-xs:string,string,,,,False,True,"A dialing code for a state or province for phone numbers in the USA, Canada, Mexico, and the Caribbean."
TelephoneCountryCodeID,niem-xs:string,string,,,,False,True,An international dialing code for a country.
TelephoneExchangeID,niem-xs:string,string,,,,False,True,A portion of a telephone number that usually represents a central telephone switch.
TelephoneLineID,niem-xs:string,string,,,,False,True,A portion of a telephone number that identifies the individual circuit within an exchange.
TelephoneNumber,nc:TelephoneNumberType,TelephoneNumberType,,,,False,True,A telephone number for a telecommunication device.
TelephoneNumberAbstract,,,,,,True,False,A data concept for a telephone number.
TelephoneNumberAugmentationPoint,,,,,,True,False,An augmentation point for TelephoneNumberType.
TelephoneNumberCategoryAbstract,,,,,,True,False,A data concept for a kind of telephone number.
TelephoneNumberCategoryText,nc:TextType,TextType,,nc:TelephoneNumberCategoryAbstract,TelephoneNumberCategoryAbstract,False,True,A kind of telephone number.
TelephoneNumberDescriptionText,nc:TextType,TextType,,,,False,True,A description of a telephone number.
