namespace,schemaLocation
http://www.w3.org/XML/1998/namespace,external/xml.xsd
https://docs.oasis-open.org/niemopen/ns/model/adapters/niem-xs/6.0/,adapters/niem-xs.xsd
https://docs.oasis-open.org/niemopen/ns/model/structures/6.0/,utility/structures.xsd
https://docs.oasis-open.org/niemopen/ns/specification/code-lists/6.0/instance/,utility/code-lists-instance.xsd
