source,target,relation
FullTelephoneNumberType,TelephoneNumberFullID,hasElement
FullTelephoneNumberType,TelephoneSuffixID,hasElement
FullTelephoneNumberType,FullTelephoneNumberAugmentationPoint,hasElement
GenericEntityType,ObjectType,extends
GenericEntityType,EntityName,hasElement
GenericEntityType,EntityContactInformation,hasElement
GenericEntityType,EntityDescriptionText,hasElement
GenericEntityType,GenericEntityAugmentationPoint,hasElement
HighwayType,ObjectType,extends
HighwayType,HighwayFullText,hasElement
HighwayType,HighwayName,hasElement
HighwayType,HighwayID,hasElement
HighwayType,HighwayPositionText,hasElement
HighwayType,HighwayAugmentationPoint,hasElement
IdentificationType,ObjectType,extends
IdentificationType,IdentificationID,hasElement
IdentificationType,IdentificationPerson,hasElement
IdentificationType,IdentificationJurisdiction,hasElement
IdentificationType,IdentificationCardDesignRevisionDate,hasElement
IdentificationType,IdentificationCategoryAbstract,hasElement
IdentificationType,IdentificationCategoryDescriptionText,hasElement
IdentificationType,IdentificationElectronicIndicator,hasElement
IdentificationType,IdentificationEffectiveDate,hasElement
IdentificationType,IdentificationExpirationDate,hasElement
IdentificationType,IdentificationIssueDate,hasElement
IdentificationType,IdentificationIssuerAdministrativeID,hasElement
IdentificationType,IdentificationIssuerComment,hasElement
IdentificationType,IdentificationIssuerCountry,hasElement
IdentificationType,IdentificationIssuerLocalityText,hasElement
IdentificationType,IdentificationIssuerLocation,hasElement
IdentificationType,IdentificationIssuerOrganization,hasElement
IdentificationType,IdentificationIssuerState,hasElement
IdentificationType,IdentificationIssuerSymbolImage,hasElement
IdentificationType,IdentificationIssuerText,hasElement
IdentificationType,IdentificationLimitedTermIndicator,hasElement
IdentificationType,IdentificationREALIDComplianceAbstract,hasElement
IdentificationType,IdentificationSealImage,hasElement
IdentificationType,IdentificationSignatureAuthorityName,hasElement
IdentificationType,IdentificationStatus,hasElement
IdentificationType,IdentificationStatusAdvisoryText,hasElement
IdentificationType,IdentificationStolenLostIndicator,hasElement
IdentificationType,IdentificationTitleText,hasElement
IdentificationType,IdentificationUNDistinguishingSignID,hasElement
IdentificationType,IdentificationAugmentationPoint,hasElement
IdentityType,ObjectType,extends
IdentityType,IdentityCharacteristics,hasElement
IdentityType,IdentityCreationDate,hasElement
IdentityType,IdentityCreationEventText,hasElement
IdentityType,IdentityTerminationDate,hasElement
IdentityType,IdentityTerminationEventText,hasElement
IdentityType,IdentityAugmentationPoint,hasElement
ImagePoseCodeType,ImagePoseCodeSimpleType,extends
ImageType,BinaryType,extends
ImageType,ImageHeightValue,hasElement
ImageType,ImageLocation,hasElement
ImageType,ImageWidthValue,hasElement
ImageType,ImageAugmentationPoint,hasElement
IncidentType,ActivityType,extends
IncidentType,IncidentEvent,hasElement
IncidentType,IncidentJurisdictionalOrganization,hasElement
IncidentType,IncidentObservationText,hasElement
IncidentType,IncidentReportedNarrative,hasElement
IncidentType,IncidentDayPeriodText,hasElement
IncidentType,IncidentAugmentationPoint,hasElement
InjuryType,ObjectType,extends
InjuryType,InjuryCategoryAbstract,hasElement
InjuryType,InjuryLocationAbstract,hasElement
InjuryType,InjuryDate,hasElement
InjuryType,InjuryDescriptionText,hasElement
InjuryType,InjuryCauserAbstract,hasElement
InjuryType,InjurySustainer,hasElement
InjuryType,InjurySeverityAbstract,hasElement
InjuryType,InjuryTreatment,hasElement
InjuryType,InjuryAugmentationPoint,hasElement
InstantMessengerType,ObjectType,extends
InstantMessengerType,InstantMessengerServiceName,hasElement
InstantMessengerType,InstantMessengerScreenID,hasElement
InstantMessengerType,InstantMessengerAugmentationPoint,hasElement
InsuranceType,ObjectType,extends
InsuranceType,InsurancePolicyIdentification,hasElement
InsuranceType,InsuranceCarrierIdentification,hasElement
InsuranceType,InsuranceCarrierName,hasElement
InsuranceType,InsuranceActiveIndicator,hasElement
InsuranceType,InsuranceCancellationDate,hasElement
InsuranceType,InsuranceCertifiedDate,hasElement
InsuranceType,InsuranceCoverageCategoryAbstract,hasElement
InsuranceType,InsuranceCoveredItem,hasElement
InsuranceType,InsuranceEffectiveDateRange,hasElement
InsuranceType,InsurancePersonalIndicator,hasElement
InsuranceType,InsuranceAugmentationPoint,hasElement
IntangibleItemType,ItemType,extends
IntangibleItemType,IntangibleItemCategoryAbstract,hasElement
IntangibleItemType,IntellectualItemBusinessAreaText,hasElement
IntangibleItemType,IntangibleItemAugmentationPoint,hasElement
IntegerListType,IntegerListSimpleType,extends
IntegerRangeType,ObjectType,extends
IntegerRangeType,RangeMaximumIntegerValue,hasElement
IntegerRangeType,RangeMinimumIntegerValue,hasElement
IntegerRangeType,IntegerRangeAugmentationPoint,hasElement
IntellectualPropertyType,IntangibleItemType,extends
IntellectualPropertyType,IntellectualPropertyRegistrationIdentification,hasElement
IntellectualPropertyType,IntellectualPropertyCreationDate,hasElement
IntellectualPropertyType,IntellectualPropertyCreationEventText,hasElement
IntellectualPropertyType,IntellectualPropertyRegistrationDate,hasElement
IntellectualPropertyType,IntellectualPropertyTerminationDate,hasElement
IntellectualPropertyType,IntellectualPropertyTerminationEventText,hasElement
IntellectualPropertyType,IntellectualPropertyAugmentationPoint,hasElement
InternationalTelephoneNumberType,ObjectType,extends
InternationalTelephoneNumberType,TelephoneCountryCodeID,hasElement
InternationalTelephoneNumberType,TelephoneNumberID,hasElement
InternationalTelephoneNumberType,TelephoneSuffixID,hasElement
InternationalTelephoneNumberType,InternationalTelephoneNumberAugmentationPoint,hasElement
ItemContainerAssociationType,AssociationType,extends
ItemContainerAssociationType,Item,hasElement
ItemContainerAssociationType,Container,hasElement
ItemContainerAssociationType,ItemContainerAssociationAugmentationPoint,hasElement
ItemDispositionType,DispositionType,extends
ItemDispositionType,ItemDispositionAbstract,hasElement
ItemDispositionType,ItemDispositionLocation,hasElement
ItemDispositionType,Item,hasElement
ItemDispositionType,ItemHoldingOrganization,hasElement
ItemDispositionType,ItemMovingOrganization,hasElement
ItemDispositionType,ItemDispositionAugmentationPoint,hasElement
ItemEntityAssociationType,AssociationType,extends
ItemEntityAssociationType,Entity,hasElement
ItemEntityAssociationType,Item,hasElement
ItemEntityAssociationType,ItemEntityAssociationAugmentationPoint,hasElement
ItemInsuranceAssociationType,AssociationType,extends
ItemInsuranceAssociationType,Insurance,hasElement
ItemInsuranceAssociationType,Item,hasElement
ItemInsuranceAssociationType,InsurancePolicyHolder,hasElement
ItemInsuranceAssociationType,RelatedActivity,hasElement
ItemInsuranceAssociationType,ItemInsuranceAssociationAugmentationPoint,hasElement
ItemLocationAssociationType,AssociationType,extends
ItemLocationAssociationType,Location,hasElement
ItemLocationAssociationType,Item,hasElement
ItemLocationAssociationType,ItemLocationAssociationAugmentationPoint,hasElement
ItemTransactionType,ActivityType,extends
ItemTransactionType,ItemSeller,hasElement
ItemTransactionType,ItemPurchasePriceValue,hasElement
ItemTransactionType,ItemBuyer,hasElement
ItemTransactionType,Item,hasElement
ItemTransactionType,ItemTransactionAugmentationPoint,hasElement
ItemType,ObjectType,extends
ItemType,ItemActionText,hasElement
ItemType,ItemAgeMeasure,hasElement
ItemType,ItemBarCodeIdentification,hasElement
ItemType,ItemBinary,hasElement
ItemType,ItemBrandName,hasElement
ItemType,ItemCategoryAbstract,hasElement
ItemType,ItemColorDescriptionText,hasElement
ItemType,ItemColorPrimaryAbstract,hasElement
ItemType,ItemColorSecondaryAbstract,hasElement
ItemType,ItemConditionAbstract,hasElement
ItemType,ItemCurrentResaleValue,hasElement
ItemType,ItemDealerIdentification,hasElement
ItemType,ItemDescriptionText,hasElement
ItemType,ItemDisposition,hasElement
ItemType,ItemFirstSoldYearDate,hasElement
ItemType,ItemHeightMeasure,hasElement
ItemType,ItemImage,hasElement
ItemType,ItemLeaseIndicator,hasElement
ItemType,ItemLengthMeasure,hasElement
ItemType,ItemMakeAbstract,hasElement
ItemType,ItemModelName,hasElement
ItemType,ItemModelYearDate,hasElement
ItemType,ItemName,hasElement
ItemType,ItemOtherIdentification,hasElement
ItemType,ItemOwner,hasElement
ItemType,ItemOwnerAppliedID,hasElement
ItemType,ItemOwnerPurchasedValue,hasElement
ItemType,ItemOwnershipCategoryAbstract,hasElement
ItemType,ItemPossessionDescriptionText,hasElement
ItemType,ItemPossessor,hasElement
ItemType,ItemQuantity,hasElement
ItemType,ItemReceiptIdentification,hasElement
ItemType,ItemRentalIndicator,hasElement
ItemType,ItemRFIdentification,hasElement
ItemType,ItemSalesTaxPercent,hasElement
ItemType,ItemSerialIdentification,hasElement
ItemType,ItemSizeDescriptionText,hasElement
ItemType,ItemStateIdentification,hasElement
ItemType,ItemStatus,hasElement
ItemType,ItemStyleAbstract,hasElement
ItemType,ItemUsageText,hasElement
ItemType,ItemValue,hasElement
ItemType,ItemVisibleID,hasElement
ItemType,ItemWeightMeasure,hasElement
ItemType,ItemWidthMeasure,hasElement
ItemType,ItemAugmentationPoint,hasElement
ItemValueType,ObjectType,extends
ItemValueType,ItemValueAmount,hasElement
ItemValueType,ItemValueAssigningMethodAbstract,hasElement
ItemValueType,ItemValueDate,hasElement
ItemValueType,ItemValueDescriptionText,hasElement
ItemValueType,ItemValueTaxIncludedIndicator,hasElement
ItemValueType,ItemValueAssigner,hasElement
ItemValueType,ItemValueAugmentationPoint,hasElement
JurisdictionType,ObjectType,extends
JurisdictionType,JurisdictionAbstract,hasElement
JurisdictionType,JurisdictionDescriptionText,hasElement
JurisdictionType,JurisdictionIdentification,hasElement
JurisdictionType,JurisdictionLocation,hasElement
JurisdictionType,JurisdictionRestrictionText,hasElement
JurisdictionType,JurisdictionAugmentationPoint,hasElement
LanguageType,ObjectType,extends
LanguageType,LanguageRepresentation,hasElement
LanguageType,LanguageAugmentationPoint,hasElement
LatitudeCoordinateType,ObjectType,extends
LatitudeCoordinateType,LatitudeDegreeValue,hasElement
LatitudeCoordinateType,LatitudeMinuteValue,hasElement
LatitudeCoordinateType,LatitudeSecondValue,hasElement
LatitudeCoordinateType,LatitudeCoordinateAugmentationPoint,hasElement
LatitudeDegreeType,LatitudeDegreeSimpleType,extends
LengthMeasureType,MeasureType,extends
LengthMeasureType,LengthUnitAbstract,hasElement
LengthMeasureType,LengthMeasureAugmentationPoint,hasElement
LicenseEndorsementType,ObjectType,extends
LicenseEndorsementType,LicenseEndorsementEndDate,hasElement
LicenseEndorsementType,LicenseEndorsementAbstract,hasElement
LicenseEndorsementType,LicenseEndorsementAugmentationPoint,hasElement
LicenseMedicalCertificationType,ObjectType,extends
LicenseMedicalCertificationType,LicenseMedicalAssessmentCategoryAbstract,hasElement
LicenseMedicalCertificationType,LicenseMedicalAssessmentDescriptionText,hasElement
LicenseMedicalCertificationType,LicenseMedicalCertificationExpirationDate,hasElement
LicenseMedicalCertificationType,LicenseMedicalCertificationIssueDate,hasElement
LicenseMedicalCertificationType,LicenseSkillsPerformanceEvaluationEffectiveDate,hasElement
LicenseMedicalCertificationType,LicenseSkillsPerformanceEvaluationExpirationDate,hasElement
LicenseMedicalCertificationType,LicenseWaiverExemptEffectiveDate,hasElement
LicenseMedicalCertificationType,LicenseWaiverExemptExpirationDate,hasElement
LicenseMedicalCertificationType,LicenseWaiverExemptExpirationIndefiniteIndicator,hasElement
LicenseMedicalCertificationType,LicenseMedicalCertificationRestrictionAbstract,hasElement
LicenseMedicalCertificationType,LicenseMedicalCertificationStatusAbstract,hasElement
LicenseMedicalCertificationType,LicenseMedicalSelfCertificationAbstract,hasElement
LicenseMedicalCertificationType,LicenseMedicalLimitationText,hasElement
LicenseMedicalCertificationType,LicenseMedicalCertificationAugmentationPoint,hasElement
LicensePermitType,LicenseType,extends
LicensePermitType,LicensePermitClassificationText,hasElement
LicensePermitType,LicensePermitStatusAbstract,hasElement
LicensePermitType,LicensePermitRestriction,hasElement
LicensePermitType,LicensePermitEndorsement,hasElement
LicensePermitType,LicensePermitAugmentationPoint,hasElement
LicenseRestrictionType,ObjectType,extends
LicenseRestrictionType,LicenseRestrictionAbstract,hasElement
LicenseRestrictionType,LicenseRestrictionDescriptionText,hasElement
LicenseRestrictionType,LicenseRestrictionEndDate,hasElement
LicenseRestrictionType,LicenseRestrictionAugmentationPoint,hasElement
LicenseType,IdentificationType,extends
LicenseType,LicenseMedicalCertification,hasElement
LicenseType,LicenseRatingAbstract,hasElement
LicenseType,LicenseRatingEffectiveDate,hasElement
LicenseType,LicenseRatingExpirationDate,hasElement
LicenseType,LicensePermit,hasElement
LicenseType,LicensePermitQuantity,hasElement
LicenseType,LicenseRestriction,hasElement
LicenseType,LicenseEndorsement,hasElement
LicenseType,LicenseAugmentationPoint,hasElement
LocaleType,ObjectType,extends
LocaleType,LocaleCensusBlockID,hasElement
LocaleType,LocaleCensusTractID,hasElement
LocaleType,LocaleCommunityAbstract,hasElement
LocaleType,LocaleDescriptionText,hasElement
LocaleType,LocaleDistrictIdentification,hasElement
LocaleType,LocaleDistrictName,hasElement
LocaleType,LocaleEmergencyServicesName,hasElement
LocaleType,LocaleFireJurisdictionID,hasElement
LocaleType,LocaleJudicialDistrictAbstract,hasElement
LocaleType,LocaleNeighborhoodName,hasElement
LocaleType,LocalePoliceBeatText,hasElement
LocaleType,LocalePoliceGridText,hasElement
LocaleType,LocalePoliceJurisdictionID,hasElement
LocaleType,LocaleRegionName,hasElement
LocaleType,LocaleSubdivisionName,hasElement
LocaleType,LocaleZoneName,hasElement
LocaleType,LocaleEmergencyServicesJurisdictionID,hasElement
LocaleType,LocaleAugmentationPoint,hasElement
Location2DGeospatialCoordinateType,ObjectType,extends
Location2DGeospatialCoordinateType,GeographicDatumAbstract,hasElement
Location2DGeospatialCoordinateType,GeographicCoordinateLatitude,hasElement
Location2DGeospatialCoordinateType,GeographicCoordinateLongitude,hasElement
Location2DGeospatialCoordinateType,Location2DGeospatialCoordinateAugmentationPoint,hasElement
Location3DGeospatialCoordinateType,Location2DGeospatialCoordinateType,extends
Location3DGeospatialCoordinateType,LocationHeightAbstract,hasElement
Location3DGeospatialCoordinateType,Location3DGeospatialCoordinateAugmentationPoint,hasElement
LocationContactInformationAssociationType,AssociationType,extends
LocationContactInformationAssociationType,Location,hasElement
LocationContactInformationAssociationType,ContactInformation,hasElement
LocationContactInformationAssociationType,LocationContactInformationAssociationAugmentationPoint,hasElement
LocationHeightMeasureType,LengthMeasureType,extends
LocationHeightMeasureType,LocationHeightVerticalDatumAbstract,hasElement
LocationHeightMeasureType,LocationHeightMeasureAugmentationPoint,hasElement
LocationPartType,ObjectType,extends
LocationPartType,LocationBedText,hasElement
LocationPartType,LocationBuildingText,hasElement
LocationPartType,LocationPartText,hasElement
LocationPartType,LocationRoomText,hasElement
LocationPartType,LocationSectionText,hasElement
LocationPartType,LocationSuiteText,hasElement
LocationPartType,LocationFloorText,hasElement
LocationPartType,LocationPartAugmentationPoint,hasElement
LocationType,ObjectType,extends
LocationType,LocationAddressAbstract,hasElement
LocationType,LocationArea,hasElement
LocationType,LocationCategoryAbstract,hasElement
LocationType,LocationContactInformation,hasElement
LocationType,LocationDescriptionText,hasElement
LocationType,LocationDirectionsText,hasElement
LocationType,LocationGeospatialCoordinateAbstract,hasElement
LocationType,LocationHeightAbstract,hasElement
LocationType,LocationIdentification,hasElement
LocationType,LocationLandmarkAbstract,hasElement
LocationType,LocationLocale,hasElement
LocationType,LocationMapLocation,hasElement
LocationType,LocationName,hasElement
LocationType,LocationPart,hasElement
LocationType,LocationRangeDescriptionText,hasElement
LocationType,LocationRelativeLocation,hasElement
LocationType,LocationSurroundingAreaDescriptionText,hasElement
LocationType,LocationAugmentationPoint,hasElement
LongitudeCoordinateType,ObjectType,extends
LongitudeCoordinateType,LongitudeDegreeValue,hasElement
LongitudeCoordinateType,LongitudeMinuteValue,hasElement
LongitudeCoordinateType,LongitudeSecondValue,hasElement
LongitudeCoordinateType,LongitudeCoordinateAugmentationPoint,hasElement
LongitudeDegreeType,LongitudeDegreeSimpleType,extends
ManifestType,DocumentType,extends
ManifestType,ManifestCategoryAbstract,hasElement
ManifestType,ManifestTransmittedDate,hasElement
ManifestType,ManifestAugmentationPoint,hasElement
MapLocationType,ObjectType,extends
MapLocationType,MapCoordinateFullText,hasElement
MapLocationType,MapDate,hasElement
MapLocationType,MapElevationCoordinateText,hasElement
MapLocationType,MapHorizontalCoordinateText,hasElement
MapLocationType,MapLocationDescriptionText,hasElement
MapLocationType,MapName,hasElement
MapLocationType,MapPageID,hasElement
MapLocationType,MapQuadrantText,hasElement
MapLocationType,MapVersionID,hasElement
MapLocationType,MapVerticalCoordinateText,hasElement
MapLocationType,MapLocationAugmentationPoint,hasElement
MeasureType,ObjectType,extends
MeasureType,MeasureValueAbstract,hasElement
MeasureType,MeasureCommentText,hasElement
MeasureType,MeasureDate,hasElement
MeasureType,MeasureDescriptionText,hasElement
MeasureType,MeasureErrorAbstract,hasElement
MeasureType,Measurer,hasElement
MeasureType,MeasureUnitAbstract,hasElement
MeasureType,MeasureMethodAbstract,hasElement
MeasureType,MeasureEstimatedIndicator,hasElement
MeasureType,MeasureAugmentationPoint,hasElement
MedicalConditionType,ObjectType,extends
MedicalConditionType,MedicalConditionDoctor,hasElement
MedicalConditionType,MedicalConditionText,hasElement
MedicalConditionType,MedicalConditionCauseText,hasElement
MedicalConditionType,MedicalConditionDescriptionText,hasElement
MedicalConditionType,MedicalConditionPresentIndicator,hasElement
MedicalConditionType,MedicalConditionSeverityAbstract,hasElement
MedicalConditionType,MedicalConditionDateRange,hasElement
MedicalConditionType,MedicalConditionAugmentationPoint,hasElement
MessageCategoryFATCACodeType,MessageCategoryFATCACodeSimpleType,extends
MessageType,ObjectType,extends
MessageType,MessageID,hasElement
MessageType,MessageRecipientAbstract,hasElement
MessageType,MessageRecipientAddressID,hasElement
MessageType,MessageReceivedDate,hasElement
MessageType,MessageSenderAbstract,hasElement
MessageType,MessageSenderAddressID,hasElement
MessageType,MessageSentDate,hasElement
MessageType,MessageSubjectText,hasElement
MessageType,MessageText,hasElement
MessageType,MessageAttachmentAbstract,hasElement
MessageType,MessageCategoryAbstract,hasElement
MessageType,MessageReferenceID,hasElement
MessageType,MessageFATCAUsageRestrictionAbstract,hasElement
MessageType,MessageAugmentationPoint,hasElement
MetadataType,ObjectType,extends
MetadataType,AdministrativeID,hasElement
MetadataType,CaveatText,hasElement
MetadataType,Comment,hasElement
MetadataType,ConfidencePercent,hasElement
MetadataType,CreatorName,hasElement
MetadataType,DescriptionText,hasElement
MetadataType,DistributionText,hasElement
MetadataType,EffectiveDate,hasElement
MetadataType,EmptyReasonAbstract,hasElement
MetadataType,EmptyReasonDescriptionText,hasElement
MetadataType,ExpirationDate,hasElement
MetadataType,Language,hasElement
MetadataType,LastUpdatedDate,hasElement
MetadataType,LastVerifiedDate,hasElement
MetadataType,ProbabilityPercent,hasElement
MetadataType,PublisherName,hasElement
MetadataType,QualityComment,hasElement
MetadataType,ReleaseDate,hasElement
MetadataType,ReportedDate,hasElement
MetadataType,ReportingOrganizationAbstract,hasElement
MetadataType,ReportingPersonRoleAbstract,hasElement
MetadataType,ReportingPersonAbstract,hasElement
MetadataType,RepositoryID,hasElement
MetadataType,SensitivityAbstract,hasElement
MetadataType,SourceContactPersonAbstract,hasElement
MetadataType,SourceIDText,hasElement
MetadataType,SourceText,hasElement
MetadataType,MetadataAugmentationPoint,hasElement
MilitaryDischargeCategoryCodeType,MilitaryDischargeCategoryCodeSimpleType,extends
MilitarySummaryType,ObjectType,extends
MilitarySummaryType,MilitaryBranchName,hasElement
MilitarySummaryType,MilitaryCountry,hasElement
MilitarySummaryType,MilitaryDischargeCategoryAbstract,hasElement
MilitarySummaryType,MilitaryDischargeDate,hasElement
MilitarySummaryType,MilitaryDischargeRankText,hasElement
MilitarySummaryType,MilitaryDisciplinaryAction,hasElement
MilitarySummaryType,MilitaryDutiesText,hasElement
MilitarySummaryType,MilitaryEnlistmentDate,hasElement
MilitarySummaryType,MilitaryExemptionDescriptionText,hasElement
MilitarySummaryType,MilitaryExperienceIndicator,hasElement
MilitarySummaryType,MilitaryHighRankText,hasElement
MilitarySummaryType,MilitaryInductionDate,hasElement
MilitarySummaryType,MilitaryPersonIdentification,hasElement
MilitarySummaryType,MilitaryReleaseCategoryAbstract,hasElement
MilitarySummaryType,MilitaryReleaseDate,hasElement
MilitarySummaryType,MilitaryServiceActiveIndicator,hasElement
MilitarySummaryType,MilitaryServiceTimeMeasure,hasElement
MilitarySummaryType,MilitaryStatus,hasElement
MilitarySummaryType,MilitaryWorkSkillText,hasElement
MilitarySummaryType,MilitarySummaryAugmentationPoint,hasElement
MissionType,ObjectType,extends
MissionType,MissionName,hasElement
MissionType,MissionCommencementNoEarlierThanDate,hasElement
MissionType,MissionCommencementNoLaterThanDate,hasElement
MissionType,ContactInformation,hasElement
MissionType,MissionID,hasElement
MissionType,MissionAugmentationPoint,hasElement
NANPTelephoneNumberType,ObjectType,extends
NANPTelephoneNumberType,TelephoneAreaCodeID,hasElement
NANPTelephoneNumberType,TelephoneExchangeID,hasElement
NANPTelephoneNumberType,TelephoneLineID,hasElement
NANPTelephoneNumberType,TelephoneSuffixID,hasElement
NANPTelephoneNumberType,NANPTelephoneNumberAugmentationPoint,hasElement
NonNegativeDecimalType,NonNegativeDecimalSimpleType,extends
NonNegativeIntegerListType,NonNegativeIntegerListSimpleType,extends
NumericType,decimal,extends
ObligationExemptionType,ObjectType,extends
ObligationExemptionType,FinancialObligationExemptionAmount,hasElement
ObligationExemptionType,ObligationExemptionDescriptionText,hasElement
ObligationExemptionType,ObligationExemptionAugmentationPoint,hasElement
ObligationRecurrenceType,ObjectType,extends
ObligationRecurrenceType,ObligationPeriodAbstract,hasElement
ObligationRecurrenceType,ObligationDateRange,hasElement
ObligationRecurrenceType,ObligationRecurrenceAugmentationPoint,hasElement
ObligationType,ObjectType,extends
ObligationType,ObligationTotalAbstract,hasElement
ObligationType,ObligationDueAbstract,hasElement
ObligationType,ObligationPaidAbstract,hasElement
ObligationType,ObligationCompleteIndicator,hasElement
ObligationType,ObligationComplianceIndicator,hasElement
ObligationType,ObligationDueDate,hasElement
ObligationType,ObligationExemption,hasElement
ObligationType,ObligationExemptionIndicator,hasElement
ObligationType,ObligationPaidDate,hasElement
ObligationType,ObligationProgressDescriptionText,hasElement
ObligationType,ObligationRequirementDescriptionText,hasElement
ObligationType,ObligationCategoryAbstract,hasElement
ObligationType,ObligationEntity,hasElement
ObligationType,ObligationEntityCategoryAbstract,hasElement
ObligationType,ObligationRecipient,hasElement
ObligationType,ObligationRecurrence,hasElement
ObligationType,ObligationAugmentationPoint,hasElement
OrganizationAssociationType,AssociationType,extends
OrganizationAssociationType,Organization,hasElement
OrganizationAssociationType,OrganizationAssociationAugmentationPoint,hasElement
OrganizationFacilityAssociationType,AssociationType,extends
OrganizationFacilityAssociationType,Facility,hasElement
OrganizationFacilityAssociationType,Organization,hasElement
OrganizationFacilityAssociationType,OrganizationFacilityAssociationAugmentationPoint,hasElement
OrganizationLocationAssociationType,AssociationType,extends
OrganizationLocationAssociationType,Location,hasElement
OrganizationLocationAssociationType,Organization,hasElement
OrganizationLocationAssociationType,OrganizationLocationAssociationAugmentationPoint,hasElement
OrganizationType,ObjectType,extends
OrganizationType,OrganizationAbbreviationText,hasElement
OrganizationType,OrganizationActiveIndicator,hasElement
OrganizationType,OrganizationActivityAbstract,hasElement
OrganizationType,OrganizationBranchName,hasElement
OrganizationType,OrganizationCategoryAbstract,hasElement
OrganizationType,OrganizationDayContactInformation,hasElement
OrganizationType,OrganizationDescriptionText,hasElement
OrganizationType,OrganizationDoingBusinessAsName,hasElement
OrganizationType,OrganizationEmergencyContactInformation,hasElement
OrganizationType,OrganizationEstablishedDate,hasElement
OrganizationType,OrganizationEveningContactInformation,hasElement
OrganizationType,OrganizationForeignAffiliate,hasElement
OrganizationType,OrganizationIdentification,hasElement
OrganizationType,OrganizationIncorporatedIndicator,hasElement
OrganizationType,OrganizationIncorporationDate,hasElement
OrganizationType,OrganizationIncorporationLocation,hasElement
OrganizationType,OrganizationJurisdiction,hasElement
OrganizationType,OrganizationLEIIdentification,hasElement
OrganizationType,OrganizationLicenseIdentification,hasElement
OrganizationType,OrganizationLocalIdentification,hasElement
OrganizationType,OrganizationLocation,hasElement
OrganizationType,OrganizationName,hasElement
OrganizationType,OrganizationNameEffectiveDate,hasElement
OrganizationType,OrganizationNameTerminationDate,hasElement
OrganizationType,OrganizationNightContactInformation,hasElement
OrganizationType,OrganizationOtherIdentification,hasElement
OrganizationType,OrganizationParentAbstract,hasElement
OrganizationType,OrganizationPrimaryContactInformation,hasElement
OrganizationType,OrganizationPrincipalOfficial,hasElement
OrganizationType,OrganizationServiceHoursAbstract,hasElement
OrganizationType,OrganizationSizeAbstract,hasElement
OrganizationType,OrganizationStatus,hasElement
OrganizationType,OrganizationSubUnit,hasElement
OrganizationType,OrganizationSubUnitName,hasElement
OrganizationType,OrganizationTaxIdentification,hasElement
OrganizationType,OrganizationTerminationDate,hasElement
OrganizationType,OrganizationUnitName,hasElement
OrganizationType,OrganizationValidDate,hasElement
OrganizationType,OrganizationAugmentationPoint,hasElement
OrganizationUnitAssociationType,AssociationType,extends
OrganizationUnitAssociationType,Organization,hasElement
OrganizationUnitAssociationType,OrganizationUnit,hasElement
OrganizationUnitAssociationType,OrganizationUnitAssociationAugmentationPoint,hasElement
OrientationType,ObjectType,extends
OrientationType,AzimuthAbstract,hasElement
OrientationType,InclinationAbstract,hasElement
OrientationType,RollValue,hasElement
OrientationType,OrientationAugmentationPoint,hasElement
PassportCategoryCodeType,PassportCategoryCodeSimpleType,extends
PassportType,IdentificationType,extends
PassportType,PassportNumberIdentification,hasElement
PassportType,PassportBookIdentification,hasElement
PassportType,PassportCategoryAbstract,hasElement
PassportType,PassportTransmissionTrackingID,hasElement
PassportType,PassportAugmentationPoint,hasElement
PaymentMethodCodeType,PaymentMethodCodeSimpleType,extends
PaymentType,ObjectType,extends
PaymentType,PaymentAmount,hasElement
PaymentType,PaymentMethodAbstract,hasElement
PaymentType,PaymentAugmentationPoint,hasElement
PercentType,decimal,extends
PermitType,ObjectType,extends
PermitType,PermitIdentification,hasElement
PermitType,PermitCategoryAbstract,hasElement
PermitType,PermitRenewalDate,hasElement
PermitType,PermitStartDate,hasElement
PermitType,PermitUsageAbstract,hasElement
PermitType,PermitAugmentationPoint,hasElement
PersonAssociationType,AssociationType,extends
PersonAssociationType,Person,hasElement
PersonAssociationType,PersonAssociationAugmentationPoint,hasElement
PersonCitizenshipType,ObjectType,extends
PersonCitizenshipType,PersonCitizenshipCountry,hasElement
PersonCitizenshipType,PersonCitizenshipCategoryAbstract,hasElement
PersonCitizenshipType,PersonCitizenshipStatus,hasElement
PersonCitizenshipType,PersonCitizenshipAugmentationPoint,hasElement
PersonConveyanceAssociationType,AssociationType,extends
PersonConveyanceAssociationType,Person,hasElement
PersonConveyanceAssociationType,Conveyance,hasElement
PersonConveyanceAssociationType,PersonConveyanceAssociationAugmentationPoint,hasElement
PersonDisunionType,ActivityType,extends
PersonDisunionType,PersonDisunionDecreeIndicator,hasElement
PersonDisunionType,PersonDisunionPendingIndicator,hasElement
PersonDisunionType,PersonDisunionReasonText,hasElement
PersonDisunionType,PersonDisunionAugmentationPoint,hasElement
PersonDocumentAssociationType,AssociationType,extends
PersonDocumentAssociationType,Person,hasElement
PersonDocumentAssociationType,Document,hasElement
PersonDocumentAssociationType,PersonDocumentAssociationAugmentationPoint,hasElement
PersonEncounterType,ActivityType,extends
PersonEncounterType,PersonArmedIndicator,hasElement
PersonEncounterType,PersonAssaultedOfficerIndicator,hasElement
PersonEncounterType,PersonPossessCreditCardIndicator,hasElement
PersonEncounterType,PersonFraudulentIdentificationIndicator,hasElement
PersonEncounterType,PersonJuvenileClaimedIndicator,hasElement
