source,target,relation
AssessmentType,AssessmentFee,hasElement
AssessmentType,AssessmentImage,hasElement
AssessmentType,AssessmentOutcomeText,hasElement
AssessmentType,AssessmentPerson,hasElement
AssessmentType,AssessmentProgram,hasElement
AssessmentType,AssessmentRecommendation,hasElement
AssessmentType,AssessmentReferral,hasElement
AssessmentType,AssessmentReport,hasElement
AssessmentType,AssessmentScoreAbstract,hasElement
AssessmentType,AssessmentSummaryText,hasElement
AssessmentType,AssessmentToolDescriptionText,hasElement
AssessmentType,AssessmentToolName,hasElement
AssessmentType,AssessmentAugmentationPoint,hasElement
AssociationType,AssociationType,extends
AssociationType,AssociationDateRange,hasElement
AssociationType,AssociationDescriptionText,hasElement
AssociationType,AssociationAugmentationPoint,hasElement
BearingType,ObjectType,extends
BearingType,AzimuthAbstract,hasElement
BearingType,InclinationAbstract,hasElement
BearingType,BearingAugmentationPoint,hasElement
BinaryHashFunctionCodeType,BinaryHashFunctionCodeSimpleType,extends
BinaryHashType,ObjectType,extends
BinaryHashType,BinaryHashCode,hasElement
BinaryHashType,BinaryHashFunctionAbstract,hasElement
BinaryHashType,BinaryHashAugmentationPoint,hasElement
BinaryType,ObjectType,extends
BinaryType,BinaryID,hasElement
BinaryType,BinaryCategoryAbstract,hasElement
BinaryType,BinaryHash,hasElement
BinaryType,BinaryLocation,hasElement
BinaryType,BinaryAvailableIndicator,hasElement
BinaryType,BinaryObjectAbstract,hasElement
BinaryType,BinaryCaptureDate,hasElement
BinaryType,BinaryCapturer,hasElement
BinaryType,BinaryDescriptionText,hasElement
BinaryType,BinaryFormatAbstract,hasElement
BinaryType,BinaryFormatStandardName,hasElement
BinaryType,BinaryURI,hasElement
BinaryType,BinarySizeValue,hasElement
BinaryType,BinaryAugmentationPoint,hasElement
BooleanListType,BooleanListSimpleType,extends
CapabilityType,ObjectType,extends
CapabilityType,CapabilityCategoryAbstract,hasElement
CapabilityType,CapabilityDescriptionText,hasElement
CapabilityType,CapabilityEndDate,hasElement
CapabilityType,CapabilityGeneralCategoryAbstract,hasElement
CapabilityType,CapabilityIdentification,hasElement
CapabilityType,CapabilityIsLimitationIndicator,hasElement
CapabilityType,CapabilityName,hasElement
CapabilityType,CapabilityProficiencyText,hasElement
CapabilityType,CapabilityStartDate,hasElement
CapabilityType,CapabilityAugmentationPoint,hasElement
CaseDispositionDecisionType,ObjectType,extends
CaseDispositionDecisionType,CaseDispositionDecisionText,hasElement
CaseDispositionDecisionType,CaseDispositionDecisionCategoryAbstract,hasElement
CaseDispositionDecisionType,CaseDispositionDecisionAugmentationPoint,hasElement
CaseDispositionType,DispositionType,extends
CaseDispositionType,CaseDispositionFinalDate,hasElement
CaseDispositionType,CaseDispositionDecision,hasElement
CaseDispositionType,CaseDispositionAugmentationPoint,hasElement
CaseType,ActivityType,extends
CaseType,CaseTitleText,hasElement
CaseType,CaseCategoryAbstract,hasElement
CaseType,CaseGeneralCategoryAbstract,hasElement
CaseType,CaseYearDate,hasElement
CaseType,CaseTrackingID,hasElement
CaseType,CaseSubCategoryAbstract,hasElement
CaseType,CaseDocketID,hasElement
CaseType,CaseResolutionText,hasElement
CaseType,CaseFiling,hasElement
CaseType,CaseAugmentationPoint,hasElement
CaveatType,ObjectType,extends
CaveatType,CaveatText,hasElement
CaveatType,CaveatReferenceDate,hasElement
CaveatType,CaveatIssuingAuthorityText,hasElement
CaveatType,CaveatAugmentationPoint,hasElement
CircularRegionType,ObjectType,extends
CircularRegionType,CircularRegionCenterCoordinate,hasElement
CircularRegionType,CircularRegionRadiusLengthMeasure,hasElement
CircularRegionType,CircularRegionAugmentationPoint,hasElement
CodeType,token,extends
CommentType,ObjectType,extends
CommentType,CommentAuthorText,hasElement
CommentType,CommentCreationDate,hasElement
CommentType,CommentText,hasElement
CommentType,CommentTitleText,hasElement
CommentType,CommentAugmentationPoint,hasElement
ConditionType,ActivityType,extends
ConditionType,ConditionGroupID,hasElement
ConditionType,ConditionSetDate,hasElement
ConditionType,ConditionDisciplinaryAction,hasElement
ConditionType,ConditionMandatoryIndicator,hasElement
ConditionType,ConditionViolatedIndicator,hasElement
ConditionType,ConditionViolationAbstract,hasElement
ConditionType,ConditionViolationDate,hasElement
ConditionType,ConditionAugmentationPoint,hasElement
ConsumptionRateMeasureType,MeasureType,extends
ConsumptionRateMeasureType,ConsumptionRateUnitAbstract,hasElement
ConsumptionRateMeasureType,ConsumptionRateMeasureAugmentationPoint,hasElement
ContactInformationAvailabilityCodeType,ContactInformationAvailabilityCodeSimpleType,extends
ContactInformationType,ObjectType,extends
ContactInformationType,ContactMeansAbstract,hasElement
ContactInformationType,ContactEntity,hasElement
ContactInformationType,ContactEntityDescriptionText,hasElement
ContactInformationType,ContactInformationCategoryAbstract,hasElement
ContactInformationType,ContactInformationDescriptionText,hasElement
ContactInformationType,ContactResponder,hasElement
ContactInformationType,ContactInformationAvailabilityAbstract,hasElement
ContactInformationType,ContactInformationAugmentationPoint,hasElement
ContactRadioType,ObjectType,extends
ContactRadioType,ContactRadioCategoryAbstract,hasElement
ContactRadioType,ContactRadioChannelText,hasElement
ContactRadioType,ContactRadioCallSignID,hasElement
ContactRadioType,ContactRadioAugmentationPoint,hasElement
ConveyanceType,ItemType,extends
ConveyanceType,ConveyanceCategoryAbstract,hasElement
ConveyanceType,ConveyanceCargoText,hasElement
ConveyanceType,ConveyanceEngineQuantity,hasElement
