name,base,baseLocal,childCount,children,documentation,kind
AircraftType,nc:ConveyanceType,ConveyanceType,10,"[""AircraftBaseAirport"", ""AircraftCallSignIdentification"", ""AircraftCategoryAbstract"", ""AircraftFuselageColorAbstract"", ""AircraftMakeAbstract"", ""AircraftModelAbstract"", ""AircraftStyleAbstract"", ""AircraftTailIdentification"", ""AircraftWingColorAbstract"", ""AircraftAugmentationPoint""]",A data type for a mode of transportation capable of flying in the air.,complexContent-extension
AirportType,nc:FacilityType,FacilityType,2,"[""AirportCodeAbstract"", ""AirportAugmentationPoint""]",A data type for an airport facility.,complexContent-extension
AmountType,structures:ObjectType,ObjectType,3,"[""Amount"", ""CurrencyAbstract"", ""AmountAugmentationPoint""]",A data type for an amount of money.,complexContent-extension
AngleMeasureType,nc:MeasureType,MeasureType,2,"[""AngleUnitAbstract"", ""AngleMeasureAugmentationPoint""]",A data type for a measure of an angular value.,complexContent-extension
AngularMeasureType,structures:ObjectType,ObjectType,4,"[""AngularDegreeValue"", ""AngularMinuteValue"", ""AngularSecondValue"", ""AngularMeasureAugmentationPoint""]",A data type for the measurement of an angle.,complexContent-extension
AngularMinuteType,nc:AngularMinuteSimpleType,AngularMinuteSimpleType,0,[],"A data type for a minute of a degree, with a restricted range of 0 (inclusive) to 60 (exclusive).",simpleContent-wrapper
AngularRateMeasureType,nc:MeasureType,MeasureType,2,"[""AngularRateUnitAbstract"", ""AngularRateMeasureAugmentationPoint""]",A data type for a measure of the angular rate of change.,complexContent-extension
AngularSecondType,nc:AngularSecondSimpleType,AngularSecondSimpleType,0,[],"A data type for a second of a minute, with a restricted range of 0 (inclusive) to 60 (exclusive).",simpleContent-wrapper
AnomalyType,structures:ObjectType,ObjectType,6,"[""AnomalyCategoryAbstract"", ""AnomalyContactInformation"", ""AnomalyDateTime"", ""AnomalyDescriptionText"", ""AnomalyLocation"", ""AnomalyAugmentationPoint""]",A data type for an out-of-the-ordinary occurrence.,complexContent-extension
AreaMeasureType,nc:MeasureType,MeasureType,2,"[""AreaMeasureUnitAbstract"", ""AreaMeasureAugmentationPoint""]",A data type for a measure of the amount of space covered by a flat surface or piece of land.,complexContent-extension
AreaType,structures:ObjectType,ObjectType,4,"[""AreaDescriptionText"", ""AreaGeographicAbstract"", ""AreaRegionAbstract"", ""AreaAugmentationPoint""]",A data type for a location identified by geographic boundaries.,complexContent-extension
ArrivalType,structures:ObjectType,ObjectType,4,"[""ArrivalDate"", ""ArrivalEstimatedDate"", ""ArrivalLocation"", ""ArrivalAugmentationPoint""]",A data type for a coming to one location from another.,complexContent-extension
AssessmentType,nc:ActivityType,ActivityType,16,"[""AssessmentAssessor"", ""AssessmentCategoryAbstract"", ""AssessmentComment"", ""AssessmentFee"", ""AssessmentImage"", ""AssessmentOutcomeText"", ""AssessmentPerson"", ""AssessmentProgram"", ""AssessmentRecommendation"", ""AssessmentReferral"", ""AssessmentReport"", ""AssessmentScoreAbstract"", ""AssessmentSummaryText"", ""AssessmentToolDescriptionText"", ""AssessmentToolName"", ""AssessmentAugmentationPoint""]","A data type for an evaluation, appraisal, or assessment of something or someone.",complexContent-extension
AssociationType,structures:AssociationType,AssociationType,3,"[""AssociationDateRange"", ""AssociationDescriptionText"", ""AssociationAugmentationPoint""]","A data type for an association, connection, relationship, or involvement somehow linking people, things, and/or activities together.",complexContent-extension
BearingType,structures:ObjectType,ObjectType,3,"[""AzimuthAbstract"", ""InclinationAbstract"", ""BearingAugmentationPoint""]",A data type for a direction in a polar coordinate system.,complexContent-extension
BinaryHashFunctionCodeType,nc:BinaryHashFunctionCodeSimpleType,BinaryHashFunctionCodeSimpleType,0,[],A data type for a hash function used to generate a hash value representing an object encoded in a binary format.,simpleContent-wrapper
BinaryHashType,structures:ObjectType,ObjectType,3,"[""BinaryHashCode"", ""BinaryHashFunctionAbstract"", ""BinaryHashAugmentationPoint""]",A data type for a hash value representing an object encoded in a binary format.,complexContent-extension
BinaryType,structures:ObjectType,ObjectType,14,"[""BinaryID"", ""BinaryCategoryAbstract"", ""BinaryHash"", ""BinaryLocation"", ""BinaryAvailableIndicator"", ""BinaryObjectAbstract"", ""BinaryCaptureDate"", ""BinaryCapturer"", ""BinaryDescriptionText"", ""BinaryFormatAbstract"", ""BinaryFormatStandardName"", ""BinaryURI"", ""BinarySizeValue"", ""BinaryAugmentationPoint""]",A data type for a digital representation of an object encoded in a binary format.,complexContent-extension
BooleanListType,nc:BooleanListSimpleType,BooleanListSimpleType,0,[],A data type for a white space-delimited list of boolean.,simpleContent-wrapper
CapabilityType,structures:ObjectType,ObjectType,10,"[""CapabilityCategoryAbstract"", ""CapabilityDescriptionText"", ""CapabilityEndDate"", ""CapabilityGeneralCategoryAbstract"", ""CapabilityIdentification"", ""CapabilityIsLimitationIndicator"", ""CapabilityName"", ""CapabilityProficiencyText"", ""CapabilityStartDate"", ""CapabilityAugmentationPoint""]",A data type for an ability to complete a task or execute a course of action under specified condition and level of performance.,complexContent-extension
CaseDispositionDecisionType,structures:ObjectType,ObjectType,3,"[""CaseDispositionDecisionText"", ""CaseDispositionDecisionCategoryAbstract"", ""CaseDispositionDecisionAugmentationPoint""]",A data type for the disposition of a case occurring as a result of some decision.,complexContent-extension
CaseDispositionType,nc:DispositionType,DispositionType,3,"[""CaseDispositionFinalDate"", ""CaseDispositionDecision"", ""CaseDispositionAugmentationPoint""]",A data type for an outcome or processing of a case.,complexContent-extension
CaseType,nc:ActivityType,ActivityType,10,"[""CaseTitleText"", ""CaseCategoryAbstract"", ""CaseGeneralCategoryAbstract"", ""CaseYearDate"", ""CaseTrackingID"", ""CaseSubCategoryAbstract"", ""CaseDocketID"", ""CaseResolutionText"", ""CaseFiling"", ""CaseAugmentationPoint""]",A data type for an aggregation of information about a set of related activities and events.,complexContent-extension
CaveatType,structures:ObjectType,ObjectType,4,"[""CaveatText"", ""CaveatReferenceDate"", ""CaveatIssuingAuthorityText"", ""CaveatAugmentationPoint""]",A data type for warning or caution information.,complexContent-extension
CircularRegionType,structures:ObjectType,ObjectType,3,"[""CircularRegionCenterCoordinate"", ""CircularRegionRadiusLengthMeasure"", ""CircularRegionAugmentationPoint""]",A data type for a circular area identified by a center coordinate and a radius.,complexContent-extension
CodeType,xs:token,token,0,[],A data type for a code with codes sourced from an external code list.,simpleContent-wrapper
CommentType,structures:ObjectType,ObjectType,5,"[""CommentAuthorText"", ""CommentCreationDate"", ""CommentText"", ""CommentTitleText"", ""CommentAugmentationPoint""]","A data type for a comment, note, or remark providing additional information.",complexContent-extension
ConditionType,nc:ActivityType,ActivityType,8,"[""ConditionGroupID"", ""ConditionSetDate"", ""ConditionDisciplinaryAction"", ""ConditionMandatoryIndicator"", ""ConditionViolatedIndicator"", ""ConditionViolationAbstract"", ""ConditionViolationDate"", ""ConditionAugmentationPoint""]",A data type for a requirement or stipulation.,complexContent-extension
ConsumptionRateMeasureType,nc:MeasureType,MeasureType,2,"[""ConsumptionRateUnitAbstract"", ""ConsumptionRateMeasureAugmentationPoint""]",A data type for a measure of a rate of consumption.,complexContent-extension
ContactInformationAvailabilityCodeType,nc:ContactInformationAvailabilityCodeSimpleType,ContactInformationAvailabilityCodeSimpleType,0,[],A data type for a period of time or a situation in which an entity is available to be contacted with the given contact information.,simpleContent-wrapper
ContactInformationType,structures:ObjectType,ObjectType,8,"[""ContactMeansAbstract"", ""ContactEntity"", ""ContactEntityDescriptionText"", ""ContactInformationCategoryAbstract"", ""ContactInformationDescriptionText"", ""ContactResponder"", ""ContactInformationAvailabilityAbstract"", ""ContactInformationAugmentationPoint""]",A data type for how to contact a person or an organization.,complexContent-extension
ContactRadioType,structures:ObjectType,ObjectType,4,"[""ContactRadioCategoryAbstract"", ""ContactRadioChannelText"", ""ContactRadioCallSignID"", ""ContactRadioAugmentationPoint""]",A data type for a method of contacting a person or organization by messages over a radio.,complexContent-extension
ConveyanceType,nc:ItemType,ItemType,8,"[""ConveyanceCategoryAbstract"", ""ConveyanceCargoText"", ""ConveyanceEngineQuantity"", ""ConveyanceFuelCategoryAbstract"", ""ConveyanceMotorizedIndicator"", ""ConveyanceTowedIndicator"", ""ConveyanceUseAbstract"", ""ConveyanceAugmentationPoint""]",A data type for a means of transport from place to place.,complexContent-extension
CountryType,structures:ObjectType,ObjectType,2,"[""CountryRepresentation"", ""CountryAugmentationPoint""]","A data type for a country, territory, dependency, or other such geopolitical subdivision of a location.",complexContent-extension
CrisisType,structures:ObjectType,ObjectType,8,"[""CrisisIdentification"", ""CrisisName"", ""CrisisLocation"", ""CrisisImage"", ""CrisisURLID"", ""CrisisDescriptionText"", ""CrisisStatus"", ""CrisisAugmentationPoint""]",A data type for a crisis.,complexContent-extension
CrossStreetType,structures:ObjectType,ObjectType,4,"[""CrossStreetDescriptionText"", ""CrossStreetRelativeLocation"", ""AddressStreet"", ""CrossStreetAugmentationPoint""]",A data type for a location identified by two or more streets which intersect.,complexContent-extension
DateRangeType,structures:ObjectType,ObjectType,3,"[""StartDate"", ""EndDate"", ""DateRangeAugmentationPoint""]",A data type for a range of dates.,complexContent-extension
DateType,structures:ObjectType,ObjectType,4,"[""DateRepresentation"", ""DateAccuracyAbstract"", ""DateMarginOfErrorDuration"", ""DateAugmentationPoint""]",A data type for a calendar date.,complexContent-extension
DayOfWeekCodeType,nc:DayOfWeekCodeSimpleType,DayOfWeekCodeSimpleType,0,[],A data type for days of the week.,simpleContent-wrapper
DecalType,structures:ObjectType,ObjectType,6,"[""DecalID"", ""DecalColorAbstract"", ""DecalPeriodAbstract"", ""DecalYearDate"", ""DecalMonthDate"", ""DecalAugmentationPoint""]",A data type for a sticker.,complexContent-extension
DecimalListType,nc:DecimalListSimpleType,DecimalListSimpleType,0,[],A data type for a white space-delimited list of decimal.,simpleContent-wrapper
DecimalRangeType,structures:ObjectType,ObjectType,3,"[""RangeMinimumDecimalValue"", ""RangeMaximumDecimalValue"", ""DecimalRangeAugmentationPoint""]",A data type for a range of decimal values.,complexContent-extension
Degree180PlusMinusType,nc:Degree180PlusMinusSimpleType,Degree180PlusMinusSimpleType,0,[],A data type for an angle measured in degrees between -180 and 180.,simpleContent-wrapper
Degree360Type,nc:Degree360SimpleType,Degree360SimpleType,0,[],A data type for a value between 0 (inclusive) and 360 (exclusive).,simpleContent-wrapper
Degree90PlusMinusType,nc:Degree90PlusMinusSimpleType,Degree90PlusMinusSimpleType,0,[],A data type for an angle measured in degrees between -90 and 90.,simpleContent-wrapper
Degree90Type,nc:Degree90SimpleType,Degree90SimpleType,0,[],A data type for a value between 0 (inclusive) and 90 (exclusive).,simpleContent-wrapper
DepartureType,structures:ObjectType,ObjectType,4,"[""DepartureDate"", ""DepartureEstimatedDate"", ""DepartureLocation"", ""DepartureAugmentationPoint""]",A data type for a leaving from one location to another.,complexContent-extension
DeviceInformationAssociationType,nc:AssociationType,AssociationType,8,"[""TelecommunicationDevice"", ""DeviceUser"", ""DeviceReceivedInformationAbstract"", ""DeviceSentInformationAbstract"", ""DeviceStoredInformationAbstract"", ""DeviceVisitedInformationAbstract"", ""Activity"", ""DeviceInformationAssociationAugmentationPoint""]","A data type for an association between a device and a message, website, binary, or other kind of information.",complexContent-extension
DeviceType,nc:ItemType,ItemType,6,"[""DeviceCategoryAbstract"", ""DeviceESNIdentification"", ""DeviceIMEIIdentification"", ""DeviceElectronicAddress"", ""DeviceStoredContactInformation"", ""DeviceAugmentationPoint""]",A data type for a device.,complexContent-extension
DirectDialTelephoneNumberType,structures:ObjectType,ObjectType,3,"[""DirectDialTelephoneNetworkText"", ""DirectDialTelephoneNumberID"", ""DirectDialTelephoneNumberAugmentationPoint""]","A data type for a telephone number consisting of a shortened sequence of numbers that can be used within a local telephone system, such as a particular network or a corporate phone system.",complexContent-extension
DirectionCodeType,nc:DirectionCodeSimpleType,DirectionCodeSimpleType,0,[],A data type for compass directions.,simpleContent-wrapper
DisciplinaryActionType,nc:ActivityType,ActivityType,9,"[""DisciplinaryActionPerson"", ""DisciplinaryActionAssigner"", ""DisciplinaryActionCommunityService"", ""DisciplinaryActionEnforcer"", ""DisciplinaryActionCounseling"", ""DisciplinaryActionFee"", ""DisciplinaryActionProgram"", ""DisciplinaryActionRestitution"", ""DisciplinaryActionAugmentationPoint""]","A data type for an activity assigned to a person for the purpose of self-improvement, punishment, or restitution.",complexContent-extension
DispositionType,structures:ObjectType,ObjectType,9,"[""DispositionCategoryAbstract"", ""DispositionEntity"", ""DispositionDate"", ""DispositionDescriptionText"", ""DispositionReasonAbstract"", ""DispositionReportedAuthorityText"", ""DispositionText"", ""DispositionInstrument"", ""DispositionAugmentationPoint""]","A data type for a result or outcome that is the product of handling, processing, or finalizing something.",complexContent-extension
DocumentAssociationType,nc:AssociationType,AssociationType,4,"[""PrimaryDocument"", ""SecondaryDocument"", ""DocumentRelationAbstract"", ""DocumentAssociationAugmentationPoint""]",A data type for a relationship between documents.,complexContent-extension
DocumentType,structures:ObjectType,ObjectType,65,"[""DocumentApprovedIndicator"", ""DocumentAuthor"", ""DocumentCategoryAbstract"", ""DocumentCategoryDescriptionText"", ""DocumentContentAbstract"", ""DocumentContentListText"", ""DocumentContributor"", ""DocumentCopyrightIndicator"", ""DocumentCountry"", ""DocumentCoverageAbstract"", ""DocumentCreationDate"", ""DocumentDescriptionText"", ""DocumentDispositionAuthorityName"", ""DocumentDispositionInstructionText"", ""DocumentDisputedIndicator"", ""DocumentDisputedReasonAbstract"", ""DocumentEffectiveDate"", ""DocumentEntrySubmitter"", ""DocumentEUDataPrivacyIndicator"", ""DocumentExpirationDate"", ""DocumentFileControlID"", ""DocumentFiledDate"", ""DocumentFileExtensionText"", ""DocumentFileName"", ""DocumentFormatCategoryAbstract"", ""DocumentFormatAbstract"", ""DocumentGroupID"", ""DocumentIdentification"", ""DocumentInformationCutOffDate"", ""DocumentIntelligenceCategoryAbstract"", ""DocumentIssuanceLocation"", ""DocumentIssueDate"", ""DocumentKeywordAbstract"", ""DocumentLanguage"", ""DocumentLastModifiedDate"", ""DocumentLocation"", ""DocumentLocationURI"", ""DocumentManagementCyclePeriodText"", ""DocumentOtherRecipient"", ""DocumentPermanentRecordIndicator"", ""DocumentPhysicalMediumCategoryAbstract"", ""DocumentPhysicalMediumText"", ""DocumentPostDate"", ""DocumentPrivacyActIndicator"", ""DocumentPublicationDate"", ""DocumentReceivedDate"", ""DocumentRecipient"", ""DocumentRelatedResourceText"", ""DocumentRightsText"", ""DocumentSensitivityAbstract"", ""DocumentSequenceID"", ""DocumentSoftware"", ""DocumentSource"", ""DocumentSourceText"", ""DocumentStatus"", ""DocumentStatusCategoryAbstract"", ""DocumentSubjectAbstract"", ""DocumentSubmissionAmount"", ""DocumentSubmitter"", ""DocumentSummaryText"", ""DocumentSupplementalMarkingText"", ""DocumentTitleAlternativeText"", ""DocumentTitleText"", ""DocumentVitalIndicator"", ""DocumentAugmentationPoint""]",A data type for a paper or electronic document.,complexContent-extension
DoubleListType,nc:DoubleListSimpleType,DoubleListSimpleType,0,[],A data type for a white space-delimited list of double.,simpleContent-wrapper
DoubleRangeType,structures:ObjectType,ObjectType,3,"[""RangeMaximumDoubleValue"", ""RangeMinimumDoubleValue"", ""DoubleRangeAugmentationPoint""]",A data type for a range of double values.,complexContent-extension
DrugType,nc:SubstanceType,SubstanceType,5,"[""DrugDaysSupplyQuantity"", ""DrugStrengthText"", ""DrugClassScheduleAbstract"", ""DrugCoverageExceptionReasonText"", ""DrugAugmentationPoint""]",A data type for a legal or illegal substance that can be used as a medicine or a narcotic.,complexContent-extension
EducationLevelType,structures:ObjectType,ObjectType,2,"[""EducationLevelRepresentation"", ""EducationLevelAugmentationPoint""]",A data type for a level of education reached by a person.,complexContent-extension
EducationQualificationType,structures:ObjectType,ObjectType,7,"[""EducationQualificationRepresentation"", ""EducationQualificationIssuedDate"", ""EducationQualificationExpirationDate"", ""EducationQualificationInstitution"", ""EducationQualificationDescriptionText"", ""EducationQualificationLevel"", ""EducationQualificationAugmentationPoint""]","A data type for a degree, certificate, credit, or other educational qualification obtained by a person.",complexContent-extension
EducationType,structures:ObjectType,ObjectType,6,"[""EducationDescriptionText"", ""EducationInProgressIndicator"", ""EducationLevel"", ""EducationQualification"", ""EducationStatus"", ""EducationAugmentationPoint""]",A data type for a person's educational background.,complexContent-extension
ElectronicAddressType,structures:ObjectType,ObjectType,6,"[""ElectronicAddressDescriptionText"", ""MACAddressID"", ""IPv4AddressID"", ""IPv6AddressID"", ""URLID"", ""ElectronicAddressAugmentationPoint""]","A data type for an address, ID, or Uniform Resource Locator (URL) that uniquely identifies a specific site on the Internet or another network.",complexContent-extension
EmployerType,nc:EntityType,EntityType,1,"[""EmployerAugmentationPoint""]",A data type for an organization or person that employs a person.,complexContent-extension
EmploymentAssociationType,nc:AssociationType,AssociationType,26,"[""Employee"", ""Employer"", ""EmployeeAssignmentAssociation"", ""EmployeeContactInformation"", ""EmployeeFullTimeIndicator"", ""EmployeeHoursFixedIndicator"", ""EmployeeHoursDailyQuantity"", ""EmployeeHoursWeeklyQuantity"", ""EmployeeHoursMonthlyQuantity"", ""EmployeeIdentification"", ""EmploymentLengthAbstract"", ""EmploymentLocation"", ""EmployeeOccupationAbstract"", ""EmployeeOccupationCategoryAbstract"", ""EmployeePayAbstract"", ""EmployeePayHourlyIndicator"", ""EmployeePosition"", ""EmployeeRankAbstract"", ""EmployeeRegistrationAbstract"", ""EmployeeSchedule"", ""EmployeeScheduleFixedIndicator"", ""EmployeeShiftAbstract"", ""EmploymentStatus"", ""EmployeeSupervisor"", ""EmployeeSupervisorIndicator"", ""EmploymentAssociationAugmentationPoint""]",A data type for an association between an employee and an employer.,complexContent-extension
EmploymentPositionBasisCodeType,nc:EmploymentPositionBasisCodeSimpleType,EmploymentPositionBasisCodeSimpleType,0,[],A data type for a nature or duration of the employment position.,simpleContent-wrapper
EmploymentPositionOrganizationAssociationType,nc:AssociationType,AssociationType,4,"[""EmploymentPosition"", ""Organization"", ""Status"", ""EmploymentPositionOrganizationAssociationAugmentationPoint""]",A data type for an association between an employment position and an organization.,complexContent-extension
EmploymentPositionType,structures:ObjectType,ObjectType,16,"[""EmploymentPositionBargainingExclusionAbstract"", ""EmploymentPositionBargainingUnitAbstract"", ""EmploymentPositionBasisAbstract"", ""EmploymentPositionDepartmentName"", ""EmploymentPositionDutyText"", ""EmploymentPositionEssentialIndicator"", ""EmploymentPositionEssentialLanguage"", ""EmploymentPositionIdentification"", ""EmploymentPositionLocation"", ""EmploymentPositionAbstract"", ""EmploymentPositionRequiredEducationAbstract"", ""EmploymentPositionRequiredJobSkillAbstract"", ""EmploymentPositionSecurityClearanceLevelAbstract"", ""EmploymentPositionSupervisoryPosition"", ""EmploymentPositionTemporaryIndicator"", ""EmploymentPositionAugmentationPoint""]","A data type for a job, post, or group of duties and responsibilities to be performed by an employee.",complexContent-extension
EmptyReasonCodeType,nc:EmptyReasonCodeSimpleType,EmptyReasonCodeSimpleType,0,[],A data type for a reason why a data value was not provided.,simpleContent-wrapper
EncounterClassificationType,structures:ObjectType,ObjectType,2,"[""EncounterCategoryAbstract"", ""EncounterClassificationAugmentationPoint""]","A data type for a kind of encounter between a person or item of interest and a governmental element, such as an organization, official or surveillance system.",complexContent-extension
EntityType,structures:ObjectType,ObjectType,3,"[""EntityRepresentation"", ""EntityLegalIndicator"", ""EntityAugmentationPoint""]","A data type for a person, organization, or item.",complexContent-extension
EquipmentType,nc:ItemType,ItemType,3,"[""EquipmentIdentification"", ""EquipmentName"", ""EquipmentAugmentationPoint""]",A data type for a tangible property (other than land or buildings) of more or less durable nature which is useful in carrying on the operations of a business.,complexContent-extension
FacilityAssociationType,nc:AssociationType,AssociationType,2,"[""Facility"", ""FacilityAssociationAugmentationPoint""]",A data type for an association between facilities.,complexContent-extension
FacilityDocumentAssociationType,nc:AssociationType,AssociationType,3,"[""Facility"", ""Document"", ""FacilityDocumentAssociationAugmentationPoint""]",A data type for an association between a facility and a document.,complexContent-extension
FacilityFunctionType,structures:ObjectType,ObjectType,2,"[""FacilityFunctionAbstract"", ""FacilityFunctionAugmentationPoint""]",A data type for a purpose or use of a facility.,complexContent-extension
FacilityImageAssociationType,nc:AssociationType,AssociationType,3,"[""Facility"", ""Image"", ""FacilityImageAssociationAugmentationPoint""]",A data type for an association between a facility and an image.,complexContent-extension
FacilityPersonAssociationType,nc:AssociationType,AssociationType,3,"[""Facility"", ""Person"", ""FacilityPersonAssociationAugmentationPoint""]",A data type for an association between a facility and a person.,complexContent-extension
FacilitySiteAssociationType,nc:AssociationType,AssociationType,3,"[""Facility"", ""Site"", ""FacilitySiteAssociationAugmentationPoint""]",A data type for an association between a facility and a site.,complexContent-extension
FacilitySubFacilityAssociationType,nc:AssociationType,AssociationType,3,"[""ParentFacility"", ""SubFacility"", ""FacilitySubFacilityAssociationAugmentationPoint""]",A data type for an association between a facility and its sub-facility.,complexContent-extension
FacilityType,structures:ObjectType,ObjectType,19,"[""FacilityIdentification"", ""FacilityName"", ""FacilityCategory"", ""FacilityLocation"", ""FacilityContactInformation"", ""FacilityContainsItem"", ""FacilityCapacityDescriptionText"", ""FacilityCapacityQuantity"", ""FacilityDescriptionText"", ""FacilityMaxOccupancyQuantity"", ""FacilityMemberCategoryText"", ""FacilityOperatingSchedule"", ""FacilityOperationalStatus"", ""FacilitySecurityLevelAbstract"", ""FacilitySiteDiagram"", ""FacilitySystemIdentification"", ""FacilitySystemIPAddressID"", ""FacilityUsage"", ""FacilityAugmentationPoint""]","A data type for one or more buildings, places, or structures that together provide a particular service.",complexContent-extension
FinancialAccountHolderCodeType,nc:FinancialAccountHolderCodeSimpleType,FinancialAccountHolderCodeSimpleType,0,[],A data type for a kind of financial account holder.,simpleContent-wrapper
FinancialAccountHolderType,nc:EntityType,EntityType,2,"[""FinancialAccountHolderCode"", ""FinancialAccountHolderAugmentationPoint""]",A data type for an entity that holds a financial account.,complexContent-extension
FinancialAccountNumberCategoryCodeType,nc:FinancialAccountNumberCategoryCodeSimpleType,FinancialAccountNumberCategoryCodeSimpleType,0,[],A data type for a kind of financial account number.,simpleContent-wrapper
FinancialAccountType,structures:ObjectType,ObjectType,7,"[""FinancialAccountCategoryText"", ""FinancialAccountListedName"", ""FinancialAccountNumberID"", ""FinancialAccountPresentBalanceAmount"", ""FinancialAccountClosedIndicator"", ""FinancialAccountHolder"", ""FinancialAccountAugmentationPoint""]",A data type for a financial account maintained by a financial institution.,complexContent-extension
FiscalYearDateType,niem-xs:gYear,gYear,0,[],A data type for a year of a twelve month period that does not necessarily correspond to the calendar year.,simpleContent-wrapper
FullTelephoneNumberType,structures:ObjectType,ObjectType,3,"[""TelephoneNumberFullID"", ""TelephoneSuffixID"", ""FullTelephoneNumberAugmentationPoint""]",A data type for a full telephone number.,complexContent-extension
GenericEntityType,structures:ObjectType,ObjectType,4,"[""EntityName"", ""EntityContactInformation"", ""EntityDescriptionText"", ""GenericEntityAugmentationPoint""]",A data type for a basic set of information about a person or an organization.,complexContent-extension
HighwayType,structures:ObjectType,ObjectType,5,"[""HighwayFullText"", ""HighwayName"", ""HighwayID"", ""HighwayPositionText"", ""HighwayAugmentationPoint""]",A data type for a major public road.,complexContent-extension
IdentificationType,structures:ObjectType,ObjectType,29,"[""IdentificationID"", ""IdentificationPerson"", ""IdentificationJurisdiction"", ""IdentificationCardDesignRevisionDate"", ""IdentificationCategoryAbstract"", ""IdentificationCategoryDescriptionText"", ""IdentificationElectronicIndicator"", ""IdentificationEffectiveDate"", ""IdentificationExpirationDate"", ""IdentificationIssueDate"", ""IdentificationIssuerAdministrativeID"", ""IdentificationIssuerComment"", ""IdentificationIssuerCountry"", ""IdentificationIssuerLocalityText"", ""IdentificationIssuerLocation"", ""IdentificationIssuerOrganization"", ""IdentificationIssuerState"", ""IdentificationIssuerSymbolImage"", ""IdentificationIssuerText"", ""IdentificationLimitedTermIndicator"", ""IdentificationREALIDComplianceAbstract"", ""IdentificationSealImage"", ""IdentificationSignatureAuthorityName"", ""IdentificationStatus"", ""IdentificationStatusAdvisoryText"", ""IdentificationStolenLostIndicator"", ""IdentificationTitleText"", ""IdentificationUNDistinguishingSignID"", ""IdentificationAugmentationPoint""]",A data type for a representation of an identity.,complexContent-extension
IdentityType,structures:ObjectType,ObjectType,6,"[""IdentityCharacteristics"", ""IdentityCreationDate"", ""IdentityCreationEventText"", ""IdentityTerminationDate"", ""IdentityTerminationEventText"", ""IdentityAugmentationPoint""]",A data type for a set of known aspects or characteristics by which a person is defined or recognized.,complexContent-extension
ImagePoseCodeType,nc:ImagePoseCodeSimpleType,ImagePoseCodeSimpleType,0,[],A data type for angles of an entity's pose in a photograph.,simpleContent-wrapper
ImageType,nc:BinaryType,BinaryType,4,"[""ImageHeightValue"", ""ImageLocation"", ""ImageWidthValue"", ""ImageAugmentationPoint""]",A data type for a picture or visual representation of something.,complexContent-extension
IncidentType,nc:ActivityType,ActivityType,6,"[""IncidentEvent"", ""IncidentJurisdictionalOrganization"", ""IncidentObservationText"", ""IncidentReportedNarrative"", ""IncidentDayPeriodText"", ""IncidentAugmentationPoint""]",A data type for an occurrence or an event that may require a response.,complexContent-extension
InjuryType,structures:ObjectType,ObjectType,9,"[""InjuryCategoryAbstract"", ""InjuryLocationAbstract"", ""InjuryDate"", ""InjuryDescriptionText"", ""InjuryCauserAbstract"", ""InjurySustainer"", ""InjurySeverityAbstract"", ""InjuryTreatment"", ""InjuryAugmentationPoint""]",A data type for a form of harm or damage sustained by a person.,complexContent-extension
InstantMessengerType,structures:ObjectType,ObjectType,3,"[""InstantMessengerServiceName"", ""InstantMessengerScreenID"", ""InstantMessengerAugmentationPoint""]",A data type for a user account for an instant messaging program by which a person or organization may be contacted.,complexContent-extension
InsuranceType,structures:ObjectType,ObjectType,11,"[""InsurancePolicyIdentification"", ""InsuranceCarrierIdentification"", ""InsuranceCarrierName"", ""InsuranceActiveIndicator"", ""InsuranceCancellationDate"", ""InsuranceCertifiedDate"", ""InsuranceCoverageCategoryAbstract"", ""InsuranceCoveredItem"", ""InsuranceEffectiveDateRange"", ""InsurancePersonalIndicator"", ""InsuranceAugmentationPoint""]",A data type for coverage by a contract whereby one party agrees to indemnify or guarantee another against loss by a specified contingent event or peril.,complexContent-extension
IntangibleItemType,nc:ItemType,ItemType,3,"[""IntangibleItemCategoryAbstract"", ""IntellectualItemBusinessAreaText"", ""IntangibleItemAugmentationPoint""]",A data type for an intellectual property item.,complexContent-extension
IntegerListType,nc:IntegerListSimpleType,IntegerListSimpleType,0,[],A data type for a list of integers.,simpleContent-wrapper
IntegerRangeType,structures:ObjectType,ObjectType,3,"[""RangeMaximumIntegerValue"", ""RangeMinimumIntegerValue"", ""IntegerRangeAugmentationPoint""]",A data type for a range of integer values.,complexContent-extension
IntellectualPropertyType,nc:IntangibleItemType,IntangibleItemType,7,"[""IntellectualPropertyRegistrationIdentification"", ""IntellectualPropertyCreationDate"", ""IntellectualPropertyCreationEventText"", ""IntellectualPropertyRegistrationDate"", ""IntellectualPropertyTerminationDate"", ""IntellectualPropertyTerminationEventText"", ""IntellectualPropertyAugmentationPoint""]",A data type for property that results from original thought or creativity.,complexContent-extension
InternationalTelephoneNumberType,structures:ObjectType,ObjectType,4,"[""TelephoneCountryCodeID"", ""TelephoneNumberID"", ""TelephoneSuffixID"", ""InternationalTelephoneNumberAugmentationPoint""]",A data type for an international telephone number.,complexContent-extension
ItemContainerAssociationType,nc:AssociationType,AssociationType,3,"[""Item"", ""Container"", ""ItemContainerAssociationAugmentationPoint""]",A data type for an association between an item and something in which it is held.,complexContent-extension
